,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
68,Hassan Whiteside,52.0,2010-11,2021-22,21-32,511,332,0,24.7,5.3,9.0,5.2,8.9,0.0,0.1,2.1,3.5,3.1,7.7,10.8,0.6,0.5,2.2,1.5,2.6,12.6,.586,.588,.308,.605,.602,.587,C,MIAPORSACUTA,whiteha01
69,Klay Thompson,51.7,2011-12,2022-23,21-32,716,679,5,32.9,7.4,16.3,4.3,8.8,3.1,7.4,1.9,2.2,0.5,3.1,3.5,2.3,0.9,0.5,1.7,2.1,19.8,.455,.488,.416,.852,.574,.550,G-F,GSW,thompkl01
70,Joakim Noah,51.7,2009-10,2019-20,24-34,518,426,2,29.3,3.6,7.4,3.6,7.4,0.0,0.0,2.2,3.1,3.3,6.4,9.7,3.3,0.8,1.4,1.9,2.8,9.4,.486,.488,.000,.704,.535,.486,C,CHILACMEMNYK,noahjo01
71,Harrison Barnes,51.4,2012-13,2022-23,20-30,829,768,0,31.9,5.0,11.1,3.7,7.4,1.4,3.6,2.8,3.4,1.0,4.0,5.0,1.8,0.7,0.2,1.2,1.6,14.2,.455,.492,.378,.811,.566,.517,F,DALGSWSAC,barneha02
72,Greg Monroe,50.4,2010-11,2021-22,20-31,646,417,0,27.4,5.2,10.1,5.2,10.1,0.0,0.0,2.6,3.7,2.8,5.4,8.2,2.1,1.1,0.6,1.9,2.2,13.0,.514,.515,.059,.703,.553,.514,C-F,BOSDETMILMINPHIPHOTORUTAWAS,monrogr01
73,Trevor Ariza,50.0,2009-10,2021-22,24-36,807,717,0,33.1,4.1,10.0,2.2,4.6,1.9,5.4,1.5,2.0,0.8,4.4,5.2,2.5,1.6,0.3,1.4,2.0,11.7,.411,.479,.353,.762,.536,.506,F,HOULALMIANOHPHOPORSACWAS,arizatr01
74,David Lee,50.0,2009-10,2016-17,26-33,542,376,2,30.0,6.2,11.7,6.2,11.7,0.0,0.0,2.6,3.3,2.5,6.3,8.7,2.6,0.8,0.4,2.0,2.6,14.9,.526,.528,.042,.778,.565,.526,F-C,BOSDALGSWNYKSAS,leeda02
75,Darren Collison,49.9,2009-10,2021-22,22-34,711,518,0,29.3,4.6,9.8,3.7,7.5,0.9,2.3,2.4,2.8,0.5,2.2,2.7,5.0,1.2,0.1,1.9,1.7,12.5,.471,.495,.394,.853,.567,.517,G,DALINDLACLALNOHSAC,collida01
76,Tony Parker,49.5,2009-10,2018-19,27-36,642,546,3,28.0,5.8,11.8,5.5,10.8,0.3,1.0,2.5,3.2,0.2,2.1,2.3,5.6,0.7,0.1,2.1,1.4,14.4,.492,.506,.342,.782,.547,.506,G,CHOSAS,parketo01
77,Danny Green,49.3,2009-10,2022-23,22-35,830,709,0,25.2,3.1,7.3,1.2,2.5,1.9,4.8,0.6,0.8,0.6,2.8,3.4,1.5,1.0,0.8,1.0,1.8,8.7,.421,.461,.400,.805,.568,.552,G-F,CLELALMEMPHISASTOR,greenda02
78,Amir Johnson,48.9,2009-10,2018-19,22-31,735,461,0,22.4,3.2,5.6,3.0,5.2,0.1,0.4,1.1,1.6,2.1,3.6,5.7,1.4,0.6,0.9,1.2,3.0,7.6,.569,.589,.332,.671,.602,.582,F-C,BOSPHITOR,johnsam01
79,Kyle Korver,48.7,2009-10,2019-20,28-38,767,320,1,25.0,3.2,7.1,1.1,2.4,2.1,4.7,0.9,1.0,0.2,2.6,2.9,1.8,0.6,0.3,1.0,1.8,9.4,.454,.475,.443,.870,.624,.602,G-F,ATLCHICLEMILUTA,korveky01
