,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1229,Gabe York,0.1,2021-22,2022-23,28-29,5,0,0,15.4,2.0,5.6,0.6,0.8,1.4,4.8,1.0,1.4,0.0,1.6,1.6,1.8,0.8,0.2,0.2,1.8,6.4,.357,.750,.292,.714,.515,.482,G,IND,yorkga01
1230,Theo Pinson,0.1,2018-19,2022-23,23-27,127,1,0,8.5,0.9,2.9,0.4,1.1,0.5,1.8,0.4,0.5,0.2,1.2,1.4,1.1,0.3,0.1,0.5,0.8,2.7,.320,.416,.261,.902,.444,.401,G,BRKDALNYK,pinsoth01
1231,Manny Harris,0.1,2010-11,2016-17,21-27,93,20,0,17.1,2.1,5.6,1.6,4.0,0.6,1.6,1.3,1.8,0.6,2.1,2.7,1.4,0.5,0.2,1.1,1.1,6.2,.380,.390,.353,.738,.481,.430,G,CLEDALLAL,harrima01
1232,DeQuan Jones,0.1,2012-13,2012-13,22,63,17,0,12.7,1.5,3.5,1.4,2.9,0.1,0.6,0.5,0.8,0.3,1.4,1.7,0.3,0.3,0.3,0.5,0.9,3.7,.436,.470,.257,.667,.485,.456,F,ORL,jonesde01
1233,Julian Washburn,0.1,2018-19,2018-19,27,18,3,0,14.1,0.9,2.7,0.6,1.3,0.3,1.3,0.2,0.2,0.4,1.8,2.3,0.8,0.7,0.1,0.4,0.9,2.2,.333,.458,.208,.750,.402,.385,F,MEM,washbju01
1234,Semaj Christon,0.1,2016-17,2016-17,24,64,1,0,15.2,1.2,3.5,1.0,2.5,0.2,1.0,0.3,0.5,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.9,.345,.406,.190,.548,.387,.372,G,OKC,chrisse01
1235,Alando Tucker,0.1,2009-10,2009-10,25,15,0,0,6.4,1.1,2.6,1.1,2.1,0.1,0.5,1.1,1.4,0.4,0.3,0.7,0.3,0.0,0.0,0.3,0.4,3.4,.436,.500,.143,.762,.529,.449,F,MINPHO,tuckeal02
1236,Thomas Welsh,0.1,2018-19,2018-19,22,11,0,0,3.3,0.6,1.2,0.4,0.5,0.3,0.6,0.1,0.2,0.0,0.4,0.4,0.5,0.0,0.0,0.1,0.3,1.6,.538,.667,.429,.500,.648,.654,C,DEN,welshth01
1237,Troy Caupain,0.1,2018-19,2018-19,23,4,0,0,4.0,1.0,2.0,0.5,1.3,0.5,0.8,0.0,0.0,0.3,0.5,0.8,1.0,0.3,0.0,0.0,0.0,2.5,.500,.400,.667,,.625,.625,G,ORL,caupatr01
1238,Tyrone Wallace,0.1,2017-18,2021-22,23-27,112,19,0,15.3,2.0,4.7,1.8,4.0,0.2,0.7,0.9,1.4,0.4,1.7,2.1,1.1,0.5,0.2,0.8,1.7,5.1,.422,.462,.207,.656,.474,.438,G,ATLLACNOP,wallaty01
1239,Brodric Thomas,0.1,2020-21,2021-22,24-25,44,1,0,10.4,1.1,2.9,0.7,1.3,0.4,1.5,0.8,1.2,0.2,1.2,1.4,0.9,0.4,0.3,0.6,1.1,3.3,.373,.500,.265,.667,.492,.444,G,BOSCLEHOU,thomabr01
1240,Darryl Watkins,0.1,2011-12,2011-12,27,5,0,0,19.6,1.4,2.8,1.4,2.8,0.0,0.0,1.8,3.6,1.6,3.8,5.4,0.6,1.0,0.8,1.6,2.8,4.6,.500,.500,,.500,.525,.500,C,NOH,watkida01
1241,Garret Siler,0.1,2010-11,2010-11,24,21,0,0,4.8,0.8,1.5,0.8,1.5,0.0,0.0,0.5,1.0,0.8,0.6,1.3,0.1,0.0,0.2,0.5,1.0,2.1,.548,.548,,.500,.553,.548,C,PHO,silerga01
1242,Derrick Byars,0.1,2011-12,2011-12,27,2,0,0,18.5,1.5,5.5,1.5,2.5,0.0,3.0,2.0,2.0,3.0,2.5,5.5,0.5,1.0,0.0,0.0,1.0,5.0,.273,.600,.000,1.000,.392,.273,F,SAS,byarsde01
1243,Jared Rhoden,0.1,2022-23,2022-23,23,14,0,0,14.1,1.2,3.1,0.9,1.7,0.4,1.4,0.4,0.4,0.8,1.9,2.6,0.3,0.3,0.1,0.2,1.6,3.2,.386,.500,.250,1.000,.482,.443,G,DET,rhodeja01
1244,Erick Green,0.1,2014-15,2015-16,23-24,52,1,0,8.7,1.3,3.4,1.0,2.4,0.3,1.0,0.2,0.3,0.2,0.5,0.7,0.8,0.3,0.0,0.3,0.6,3.1,.377,.415,.288,.857,.439,.420,G,DENUTA,greener01
1245,J.R. Giddens,0.1,2009-10,2009-10,24,32,1,0,7.5,0.9,1.9,0.9,1.6,0.0,0.3,0.4,0.7,0.5,1.1,1.6,0.4,0.3,0.1,0.5,0.9,2.2,.467,.560,.000,.565,.492,.467,G,BOSNYK,giddejr01
1246,Trey Johnson,0.1,2010-11,2011-12,26-27,19,0,0,8.2,1.1,2.5,1.0,2.3,0.1,0.2,0.7,0.8,0.3,0.7,1.0,0.8,0.1,0.1,0.5,1.2,2.9,.426,.432,.333,.933,.513,.436,G,LALNOHTOR,johnstr01
1247,Shamorie Ponds,0.1,2019-20,2019-20,21,4,0,0,2.8,0.8,1.3,0.5,0.8,0.3,0.5,0.5,0.5,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3,.600,.667,.500,1.000,.765,.700,G,TOR,pondssh01
1248,Alex Stepheson,0.1,2015-16,2015-16,28,8,0,0,9.1,1.1,3.4,1.1,3.4,0.0,0.0,0.5,1.5,2.4,1.1,3.5,0.3,0.1,0.6,0.0,1.5,2.8,.333,.333,,.333,.341,.333,F,LACMEM,stephal01
1249,Grant Riller,0.1,2020-21,2020-21,23,7,0,0,3.9,1.1,1.7,0.9,1.1,0.3,0.6,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.0,2.6,.667,.750,.500,,.750,.750,G,CHO,rillegr01
1250,Jerome Dyson,0.1,2011-12,2011-12,24,9,1,0,20.0,2.1,5.3,2.0,4.4,0.1,0.9,3.1,4.0,0.2,1.9,2.1,2.0,1.2,0.2,2.2,2.1,7.4,.396,.450,.125,.778,.525,.406,G,NOH,dysonje01
1251,Tremont Waters,0.1,2019-20,2021-22,22-24,40,4,0,10.2,1.3,3.7,0.8,1.9,0.5,1.8,0.6,0.6,0.1,0.8,0.9,2.1,0.8,0.1,1.2,0.9,3.7,.354,.408,.296,.960,.472,.425,G,BOSTORWAS,watertr01
1252,Mac McClung,0.1,2021-22,2022-23,23-24,4,0,0,16.5,3.0,6.5,1.8,3.0,1.3,3.5,1.0,1.5,0.8,2.5,3.3,2.5,0.3,0.3,1.5,2.0,8.3,.462,.583,.357,.667,.576,.558,G,CHILALPHI,mccluma01
1253,Oleksiy Pecherov,0.1,2009-10,2009-10,24,44,5,0,10.2,1.8,4.3,1.4,3.1,0.3,1.2,0.7,0.7,0.7,2.1,2.8,0.3,0.2,0.3,0.7,1.3,4.5,.410,.463,.269,.906,.487,.447,C,MIN,pecheol01
1254,Cameron McGriff,0.1,2021-22,2021-22,24,3,0,0,15.3,1.7,4.7,1.0,2.7,0.7,2.0,0.7,0.7,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7,.357,.375,.333,1.000,.470,.429,F,POR,mcgrica01
1255,Wendell Moore Jr.,0.1,2022-23,2022-23,21,29,2,0,5.3,0.6,1.5,0.6,0.9,0.1,0.6,0.1,0.2,0.1,0.5,0.6,0.6,0.3,0.2,0.3,0.4,1.4,.419,.615,.118,.800,.465,.442,G-F,MIN,moorewe01
1256,Isaiah Hicks,0.1,2017-18,2018-19,23-24,21,0,0,13.0,1.8,3.8,1.7,3.4,0.1,0.4,0.8,1.1,0.6,1.7,2.3,0.9,0.1,0.3,0.8,2.4,4.4,.463,.493,.222,.696,.510,.475,F,NYK,hicksis01
1257,Bryce McGowens,0.1,2022-23,2022-23,20,46,7,0,17.1,1.7,4.4,1.2,2.7,0.6,1.7,1.3,1.7,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,5.3,.396,.443,.325,.750,.519,.460,G-F,CHO,mcgowbr01
1258,Jameel Warney,0.1,2017-18,2017-18,24,3,0,0,9.0,2.3,4.0,2.3,4.0,0.0,0.0,1.0,1.7,1.3,1.7,3.0,0.0,0.0,0.0,0.3,0.7,5.7,.583,.583,,.600,.599,.583,F,DAL,warneja01
1259,Bryce Cotton,0.1,2014-15,2015-16,22-23,23,0,0,8.6,1.4,3.4,1.1,2.4,0.3,1.0,0.7,0.8,0.1,0.7,0.8,0.8,0.3,0.0,0.7,0.3,3.8,.418,.464,.304,.833,.506,.462,G,MEMPHOUTA,cottobr01
1260,Eric Mika,0.1,2019-20,2019-20,25,1,0,0,19.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0,.667,.667,,1.000,.773,.667,C,SAC,mikaer01
1261,Eric Dawson,0.1,2011-12,2011-12,27,4,0,0,9.8,1.8,3.0,1.8,3.0,0.0,0.0,0.3,0.5,1.3,1.3,2.5,0.0,0.3,0.5,0.8,1.5,3.8,.583,.583,,.500,.582,.583,F,SAS,dawsoer01
1262,DeSagana Diop,0.1,2009-10,2012-13,28-31,92,10,0,10.8,0.5,1.3,0.5,1.3,0.0,0.0,0.1,0.3,0.9,1.8,2.6,0.5,0.2,0.6,0.5,1.2,1.1,.377,.380,.000,.259,.370,.377,C,CHA,diopde01
1263,Marcus Garrett,0.1,2021-22,2021-22,23,12,0,0,10.7,0.4,1.8,0.3,1.4,0.1,0.3,0.2,0.4,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1,.238,.235,.250,.400,.280,.262,G,MIA,garrema01
1264,Ryan Bowen,0.1,2009-10,2009-10,34,1,0,0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,1.000,1.000,,1.000,1.064,1.000,F,OKC,bowenry01
1265,Ray Spalding,0.1,2018-19,2020-21,21-23,16,3,0,10.4,1.7,3.2,1.7,2.9,0.0,0.3,0.3,0.9,1.1,2.2,3.3,0.3,0.6,0.6,0.8,1.6,3.6,.529,.574,.000,.286,.507,.529,F,DALHOUPHO,spaldra01
1266,Matt Costello,0.1,2017-18,2017-18,24,4,0,0,8.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3,2.0,2.3,0.5,0.5,0.5,0.3,1.8,1.0,.500,.500,,,.500,.500,F,SAS,costema01
1267,Andre Emmett,0.1,2011-12,2011-12,29,6,0,0,7.5,0.7,1.2,0.7,1.0,0.0,0.2,0.8,1.3,0.3,0.7,1.0,0.2,0.3,0.2,0.3,0.3,2.2,.571,.667,.000,.625,.618,.571,F,NJN,emmetan01
1268,Omari Johnson,0.1,2017-18,2017-18,28,4,0,0,18.8,2.3,5.3,1.3,2.3,1.0,3.0,0.0,0.0,1.0,1.8,2.8,1.8,0.5,0.0,0.8,1.5,5.5,.429,.556,.333,,.524,.524,F,MEM,johnsom01
1269,Andre Ingram,0.1,2017-18,2018-19,32-33,6,0,0,13.2,1.3,3.8,0.5,1.8,0.8,2.0,0.5,0.5,0.3,1.0,1.3,1.2,0.7,0.5,0.7,0.5,4.0,.348,.273,.417,1.000,.493,.457,G,LAL,ingraan01
1270,Darius Days,0.1,2022-23,2022-23,23,4,0,0,6.3,1.3,3.0,0.5,0.5,0.8,2.5,0.5,0.5,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,.417,1.000,.300,1.000,.582,.542,F,HOU,daysda01
1271,JD Davison,0.1,2022-23,2022-23,20,12,0,0,5.5,0.7,1.6,0.5,1.0,0.2,0.6,0.1,0.2,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,.421,.500,.286,.500,.478,.474,G,BOS,davisjd01
1272,RaiQuan Gray,0.1,2022-23,2022-23,23,1,0,0,35.0,6.0,12.0,4.0,7.0,2.0,5.0,2.0,2.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,.500,.571,.400,1.000,.621,.583,F,BRK,grayra01
1273,David Stockton,0.1,2014-15,2017-18,23-26,6,0,0,7.0,0.7,1.5,0.2,0.7,0.5,0.8,1.2,1.7,0.0,0.3,0.3,1.5,0.3,0.0,0.8,0.7,3.0,.444,.250,.600,.700,.672,.611,G,SACUTA,stockda01
1274,Mangok Mathiang,0.1,2017-18,2017-18,25,4,0,0,5.0,1.0,1.8,1.0,1.8,0.0,0.0,0.0,0.3,0.8,1.8,2.5,0.0,0.3,0.0,0.0,1.3,2.0,.571,.571,,.000,.538,.571,C-F,CHO,mathima01
1275,Malcolm Thomas,0.1,2011-12,2014-15,23-26,40,0,0,8.2,0.8,1.7,0.7,1.5,0.0,0.3,0.4,0.6,0.7,1.7,2.4,0.4,0.2,0.2,0.6,0.8,1.9,.435,.500,.091,.600,.475,.442,F,CHIGSWPHISASUTA,thomama01
1276,Joe Wieskamp,0.1,2021-22,2022-23,22-23,38,0,0,6.7,0.6,1.8,0.2,0.4,0.4,1.4,0.2,0.3,0.1,0.4,0.5,0.3,0.1,0.1,0.1,0.4,1.8,.329,.400,.309,.538,.462,.450,G,SASTOR,wieskjo01
1277,Cole Swider,0.1,2022-23,2022-23,23,7,0,0,5.9,0.4,1.3,0.0,0.1,0.4,1.1,0.0,0.0,0.1,0.9,1.0,0.6,0.0,0.0,0.0,0.4,1.3,.333,.000,.375,,.500,.500,F,LAL,swideco01
1278,Jacob Gilyard,0.1,2022-23,2022-23,24,1,0,0,41.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,0.0,2.0,3.0,3.0,.333,,.333,,.500,.500,G,MEM,gilyaja01
1279,Trevon Duval,0.1,2018-19,2018-19,20,3,0,0,2.0,0.7,1.0,0.3,0.7,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,1.7,.667,.500,1.000,,.833,.833,G,MIL,duvaltr01
1280,Chinanu Onuaku,0.1,2016-17,2017-18,20-21,6,1,0,12.3,1.2,2.0,1.2,2.0,0.0,0.0,0.7,0.7,0.5,1.8,2.3,0.7,0.5,0.2,1.2,1.7,3.0,.583,.583,,1.000,.654,.583,F-C,HOU,onuakch01
1281,Jacob Wiley,0.1,2017-18,2017-18,23,5,0,0,6.6,0.2,0.8,0.0,0.4,0.2,0.4,0.2,0.4,0.4,1.8,2.2,0.4,0.2,0.0,0.0,0.8,0.8,.250,.000,.500,.500,.410,.375,F,BRK,wileyja01
1282,Craig Sword,0.1,2021-22,2021-22,28,3,0,0,6.3,1.0,1.3,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.0,0.3,2.3,2.0,.750,1.000,.000,,.750,.750,G,WAS,swordcr01
1283,Chris Quinn,0.1,2009-10,2012-13,26-29,73,0,0,8.1,0.8,2.2,0.5,1.2,0.3,1.0,0.2,0.2,0.1,0.5,0.6,1.1,0.2,0.0,0.4,0.7,2.0,.350,.404,.284,.750,.432,.414,G,CLENJNSAS,quinnch01
1284,Marcus Haislip,0.1,2009-10,2009-10,29,10,0,0,4.4,1.0,2.1,0.7,1.6,0.3,0.5,0.2,0.5,0.4,0.6,1.0,0.0,0.0,0.2,0.3,0.5,2.5,.476,.438,.600,.400,.539,.548,F,SAS,haislma01
1285,Kendall Brown,0.1,2022-23,2022-23,19,6,0,0,6.7,0.7,1.2,0.7,1.0,0.0,0.2,0.2,0.3,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,.571,.667,.000,.500,.571,.571,G-F,IND,brownke03
1286,Steven Hunter,0.1,2009-10,2009-10,28,21,0,0,7.5,0.8,2.0,0.8,2.0,0.0,0.0,0.9,1.7,0.9,1.1,2.0,0.0,0.0,0.5,0.4,0.5,2.5,.395,.395,,.528,.450,.395,C,MEM,huntest01
1287,C.J. Wilcox,0.1,2014-15,2016-17,24-26,66,0,0,5.7,0.8,2.0,0.5,1.2,0.3,0.9,0.2,0.2,0.1,0.4,0.5,0.5,0.2,0.1,0.3,0.5,2.0,.370,.397,.333,.813,.465,.441,G,LACORL,wilcocj01
1288,Ricky Davis,0.1,2009-10,2009-10,30,36,2,0,13.9,1.7,4.0,1.3,2.8,0.4,1.2,0.5,0.9,0.3,1.3,1.6,1.1,0.3,0.1,0.8,1.1,4.4,.434,.455,.381,.581,.504,.490,G-F,LAC,davisri01
1289,Kevin Pangos,0.1,2021-22,2021-22,29,24,3,0,6.9,0.6,1.9,0.4,0.8,0.3,1.1,0.1,0.2,0.1,0.4,0.5,1.3,0.1,0.0,0.3,0.5,1.6,.326,.450,.231,.750,.408,.391,G,CLE,pangoke01
1290,Lamar Patterson,0.1,2015-16,2016-17,24-25,40,0,0,10.9,0.8,2.4,0.5,1.0,0.3,1.4,0.5,0.6,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.3,.326,.450,.236,.720,.439,.395,G-F,ATL,pattela01
1291,Gian Clavell,0.1,2017-18,2017-18,24,7,0,0,9.1,0.9,2.6,0.0,0.4,0.9,2.1,0.3,0.3,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9,.333,.000,.400,1.000,.530,.500,G,DAL,clavegi01
1292,Travis Leslie,0.1,2011-12,2011-12,21,10,0,0,4.5,0.5,1.4,0.5,1.4,0.0,0.0,0.4,0.9,0.6,0.3,0.9,0.5,0.2,0.2,0.2,0.4,1.4,.357,.357,,.444,.390,.357,G,LAC,leslitr01
1293,Marques Bolden,0.1,2019-20,2020-21,21-22,7,0,0,4.6,0.1,0.4,0.1,0.4,0.0,0.0,0.7,1.1,0.4,0.7,1.1,0.0,0.4,0.3,0.3,0.1,1.0,.333,.333,,.625,.537,.333,C,CLE,boldema01
1294,Matt Carroll,0.1,2009-10,2012-13,29-32,133,3,0,9.8,1.2,3.1,1.0,2.2,0.2,0.8,0.6,0.7,0.2,0.9,1.0,0.5,0.3,0.1,0.4,0.8,3.2,.392,.436,.269,.792,.472,.427,G,CHADAL,carroma01
1295,Jordan Bone,0.1,2019-20,2020-21,22-23,24,0,0,10.4,1.2,3.1,0.7,1.3,0.5,1.8,0.0,0.0,0.2,1.0,1.2,1.1,0.1,0.0,0.2,0.7,2.8,.378,.500,.286,,.459,.459,G,DETORL,bonejo01
1296,Jason Preston,0.1,2022-23,2022-23,23,14,0,0,8.9,1.3,2.9,0.9,1.6,0.4,1.3,0.0,0.1,0.1,1.4,1.6,1.9,0.1,0.0,0.7,0.5,2.9,.439,.565,.278,.000,.489,.500,G,LAC,prestja01
1297,Jamorko Pickett,0.1,2021-22,2021-22,24,13,0,0,13.5,1.4,3.8,0.4,0.8,1.0,3.0,0.1,0.2,0.5,2.0,2.5,0.5,0.0,0.5,0.4,0.9,3.8,.360,.455,.333,.500,.491,.490,G-F,DET,pickeja01
1298,Moses Wright,0.1,2021-22,2021-22,23,4,0,0,3.5,0.3,1.0,0.3,0.8,0.0,0.3,0.8,0.8,0.3,0.5,0.8,0.5,0.0,0.3,0.0,0.0,1.3,.250,.333,.000,1.000,.470,.250,F,DALLAC,wrighmo01
1299,Kyle Guy,0.1,2019-20,2021-22,22-24,53,0,0,8.1,1.1,3.0,0.6,1.3,0.5,1.7,0.5,0.6,0.2,0.8,1.0,0.9,0.2,0.0,0.5,0.6,3.1,.361,.435,.303,.750,.479,.446,G,MIASAC,guyky01
1300,Tony Mitchell,0.1,2013-14,2013-14,24,3,0,0,3.3,1.0,1.7,1.0,1.3,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0,.600,.750,.000,,.600,.600,F,MIL,mitchto03
1301,Ryan Reid,0.1,2011-12,2011-12,25,5,0,0,3.4,0.8,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.2,1.6,.800,.800,,,.800,.800,F,OKC,reidry01
1302,Paul Davis,0.0,2009-10,2009-10,25,2,0,0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,2.5,.500,.500,,.500,.512,.500,C,WAS,davispa01
1303,Carrick Felix,0.0,2013-14,2013-14,23,7,0,0,5.4,1.0,2.0,0.7,1.3,0.3,0.7,0.4,0.6,0.1,0.7,0.9,0.6,0.0,0.0,0.6,0.6,2.7,.500,.556,.400,.750,.603,.571,G,CLE,felixca01
1304,Adam Morrison,0.0,2009-10,2009-10,25,31,0,0,7.8,1.0,2.7,0.9,2.1,0.2,0.7,0.2,0.3,0.3,0.7,1.0,0.6,0.1,0.1,0.3,0.5,2.4,.376,.422,.238,.625,.418,.406,F,LAL,morriad01
1305,Oliver Lafayette,0.0,2009-10,2009-10,25,1,0,0,22.0,3.0,6.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0,.500,.500,.500,,.583,.583,G,BOS,lafayol01
1306,Morris Almond,0.0,2011-12,2011-12,26,4,0,0,16.8,1.5,4.3,1.3,3.5,0.3,0.8,0.3,0.8,0.3,1.8,2.0,0.5,1.8,0.0,0.3,1.5,3.5,.353,.357,.333,.333,.382,.382,G,WAS,almonmo01
1307,Yves Pons,0.0,2021-22,2021-22,22,12,0,0,5.9,0.4,1.3,0.2,0.6,0.3,0.8,0.0,0.2,0.4,0.6,1.0,0.1,0.1,0.3,0.1,0.5,1.1,.313,.286,.333,.000,.385,.406,F,MEM,ponsyv01
1308,Amida Brimah,0.0,2020-21,2020-21,26,5,0,0,5.8,1.0,1.6,1.0,1.6,0.0,0.0,0.6,0.6,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6,.625,.625,,1.000,.697,.625,C,IND,brimaam01
1309,Brandon Sampson,0.0,2018-19,2018-19,21,14,2,0,15.3,2.0,4.3,1.2,2.2,0.8,2.1,0.3,0.4,0.2,0.9,1.1,0.7,0.6,0.2,0.9,1.4,5.1,.467,.548,.379,.667,.567,.558,G,CHI,sampsbr01
1310,Ike Anigbogu,0.0,2017-18,2018-19,19-20,14,0,0,2.6,0.3,0.9,0.3,0.9,0.0,0.0,0.4,0.4,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9,.333,.333,,.833,.444,.333,F-C,IND,anigbik01
1311,Marcus Williams,0.0,2009-10,2009-10,24,62,1,0,14.1,1.7,4.4,1.3,3.1,0.4,1.3,0.6,0.9,0.2,1.3,1.5,2.6,0.5,0.0,1.2,0.7,4.3,.384,.421,.296,.673,.456,.428,G,MEM,willima03
1312,Hamady N'Diaye,0.0,2010-11,2013-14,24-27,33,0,0,4.8,0.2,0.5,0.2,0.5,0.0,0.0,0.2,0.4,0.2,0.5,0.8,0.1,0.1,0.3,0.2,1.0,0.6,.467,.467,,.462,.483,.467,C,SACWAS,ndiayha01
1313,Branden Dawson,0.0,2015-16,2015-16,22,6,0,0,4.8,0.3,0.8,0.3,0.8,0.0,0.0,0.2,0.2,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8,.400,.400,,1.000,.460,.400,F,LAC,dawsobr01
1314,Xavier Sneed,0.0,2021-22,2022-23,24-25,13,0,0,6.7,0.5,1.5,0.2,0.5,0.3,1.1,0.3,0.3,0.2,0.7,0.8,0.5,0.0,0.1,0.2,0.7,1.7,.350,.500,.286,1.000,.506,.450,F,CHOMEMUTA,sneedxa01
1315,Adam Mokoka,0.0,2019-20,2020-21,21-22,25,0,0,6.7,0.8,1.9,0.5,0.9,0.3,1.0,0.1,0.2,0.3,0.3,0.6,0.4,0.2,0.0,0.3,0.9,1.9,.404,.545,.280,.400,.478,.479,G,CHI,mokokad01
1316,Cliff Alexander,0.0,2015-16,2015-16,20,8,0,0,4.5,0.6,1.3,0.6,1.3,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,.500,.500,,,.500,.500,F,POR,alexacl01
1317,Walt Lemon Jr.,0.0,2017-18,2018-19,25-26,11,3,0,18.4,4.1,9.4,3.8,8.8,0.3,0.5,0.9,1.3,0.4,2.3,2.6,3.2,1.0,0.2,1.3,1.7,9.4,.437,.433,.500,.714,.472,.451,G,CHINOP,lemonwa01
1318,Jeremiah Martin,0.0,2019-20,2020-21,23-24,18,0,0,9.7,1.8,4.8,1.4,3.1,0.4,1.7,0.7,1.1,0.2,0.8,0.9,1.2,0.7,0.2,0.6,0.4,4.8,.384,.446,.267,.632,.456,.430,G,BRKCLE,martije02
1319,Pierre Jackson,0.0,2016-17,2016-17,25,8,1,0,10.5,1.6,4.9,1.3,3.5,0.4,1.4,0.8,0.9,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,4.4,.333,.357,.273,.857,.416,.372,G,DAL,jackspi01
1320,Josh Akognon,0.0,2012-13,2012-13,26,3,0,0,3.0,0.7,1.3,0.3,0.7,0.3,0.7,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,.500,.500,.500,,.625,.625,G,DAL,akognjo01
1321,Solomon Alabi,0.0,2010-11,2011-12,22-23,26,0,0,7.0,0.6,2.0,0.6,2.0,0.0,0.0,0.3,0.4,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,.314,.314,,.700,.352,.314,C,TOR,alabiso01
1322,Trey Gilder,0.0,2009-10,2009-10,25,2,0,0,2.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.000,1.000,,,1.000,1.000,F,MEM,gildetr01
1323,Džanan Musa,0.0,2018-19,2019-20,19-20,49,0,0,10.7,1.5,4.0,1.1,2.2,0.4,1.8,0.9,1.3,0.4,1.4,1.9,0.9,0.3,0.0,0.8,0.6,4.3,.376,.500,.227,.726,.477,.428,G-F,BRK,musadz01
1324,James Nunnally,0.0,2013-14,2020-21,23-30,37,0,0,8.5,0.9,2.5,0.3,0.8,0.5,1.7,0.3,0.4,0.1,0.8,0.9,0.5,0.2,0.1,0.3,0.6,2.6,.344,.387,.323,.733,.477,.452,F,ATLHOUMINNOPPHI,nunnaja01
1325,Andrew Goudelock,0.0,2011-12,2015-16,23-27,49,0,0,9.7,1.6,4.0,1.0,2.3,0.6,1.7,0.3,0.3,0.1,0.6,0.7,0.5,0.2,0.0,0.6,0.7,4.0,.393,.429,.345,.875,.485,.467,G,HOULAL,goudean01
1326,Zhaire Smith,0.0,2018-19,2019-20,19-20,13,2,0,11.0,1.3,3.5,0.8,2.0,0.5,1.5,0.6,0.9,0.2,0.9,1.2,0.9,0.4,0.2,0.6,0.9,3.7,.378,.423,.316,.667,.477,.444,G,PHI,smithzh01
1327,Antonio Daniels,0.0,2010-11,2010-11,35,4,0,0,8.8,0.5,1.3,0.5,0.8,0.0,0.5,0.5,0.5,0.0,1.3,1.3,0.5,0.0,0.0,0.3,0.0,1.5,.400,.667,.000,1.000,.510,.400,G,PHI,daniean01
1328,Tre Scott,0.0,2021-22,2021-22,25,2,0,0,5.5,1.5,3.0,1.5,2.5,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0,.500,.600,.000,,.500,.500,F,CLE,scotttr01
