,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
270,Jordan Miller,LAC,2,48,2023,Miami (FL),2018-19,2022-23,142,133,32.4,4.9,9.6,4.1,7.1,0.8,2.4,2.2,3.0,2.3,3.7,6.0,1.7,1.2,0.4,1.4,2.0,12.8,.515,.579,.329,.729,.585,.557,G,George MasonMiami (FL),jordan-miller-2
271,Darius Miller,NOH,2,46,2012,Kentucky,2009-10,2011-12,116,80,26.1,3.3,7.1,1.9,3.6,1.4,3.5,1.2,1.5,1.0,2.2,3.3,1.8,0.8,0.7,1.3,2.2,9.1,.456,.525,.385,.818,.579,.551,G,Kentucky,darius-miller-1
272,Brandon Miller,CHA,1,2,2023,Alabama,2022-23,2022-23,37,37,32.6,6.0,13.9,3.1,6.5,2.9,7.5,3.9,4.6,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8,.430,.483,.384,.859,.583,.533,F,Alabama,brandon-miller-3
273,Khris Middleton,DET,2,39,2012,Texas A&M,2009-10,2011-12,87,72,26.0,3.9,9.1,2.9,5.8,1.1,3.3,2.4,3.1,1.5,3.0,4.6,2.0,1.0,0.2,2.0,2.1,11.3,.431,.494,.321,.768,.534,.489,F,Texas A&M,khris-middleton-1
274,Jordan Mickey,BOS,2,33,2015,Louisiana State,2013-14,2014-15,65,65,33.8,5.6,10.8,5.6,10.6,0.0,0.2,2.9,4.3,2.7,6.1,8.8,1.2,0.8,3.4,2.8,2.4,14.0,.518,.527,.071,.669,.548,.519,F,Louisiana State,jordan-mickey-1
275,Chimezie Metu,SAS,2,49,2018,Southern California,2015-16,2017-18,104,71,27.0,4.8,8.9,4.6,8.5,0.1,0.4,2.7,3.9,1.8,4.5,6.3,1.2,0.7,1.6,1.7,2.5,12.3,.533,.545,.302,.692,.573,.540,F,Southern California,chimezie-metu-1
276,Sam Merrill,NOH,2,60,2020,Utah State,2016-17,2019-20,131,118,33.3,5.5,11.6,3.0,5.8,2.4,5.8,3.4,3.8,0.3,3.3,3.6,3.6,1.0,0.2,1.6,2.4,16.8,.470,.520,.420,.891,.624,.575,G,Utah State,sam-merrill-1
277,De'Anthony Melton,HOU,2,46,2018,Southern California,2016-17,2016-17,36,25,27.0,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3.0,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,.437,.510,.284,.706,.530,.483,G,Southern California,deanthony-melton-1
278,Fab Melo,BOS,1,22,2012,Syracuse,2010-11,2011-12,63,54,17.3,2.1,3.6,2.1,3.6,0.0,0.0,0.7,1.3,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,.576,.576,,.553,.577,.576,C,Syracuse,fab-melo-1
279,Jordan McRae,SAS,2,58,2014,Tennessee,2010-11,2013-14,114,74,27.1,4.4,10.4,2.8,5.9,1.6,4.6,3.1,4.0,0.7,2.6,3.3,1.8,0.6,0.9,2.0,1.9,13.3,.417,.475,.343,.769,.541,.492,G,Tennessee,jordan-mcrae-1
280,Ben McLemore,SAC,1,7,2013,Kansas,2012-13,2012-13,37,36,32.2,5.4,10.8,3.4,6.1,2.0,4.7,3.2,3.7,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9,15.9,.495,.553,.420,.870,.633,.586,G,Kansas,ben-mclemore-1
281,Bryce McGowens,MIN,2,40,2022,Nebraska,2021-22,2021-22,31,31,33.3,5.2,12.8,3.9,8.1,1.3,4.7,5.2,6.3,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,.403,.478,.274,.831,.533,.453,G,Nebraska,bryce-mcgowens-1
282,Mitch McGary,OKC,1,21,2014,Michigan,2012-13,2013-14,47,12,20.6,3.5,5.9,3.5,5.9,0.0,0.0,0.8,1.6,2.6,4.0,6.6,0.8,1.2,0.7,1.3,2.5,7.8,.588,.592,.000,.513,.582,.588,F,Michigan,mitch-mcgary-1
283,Doug McDermott,DEN,1,11,2014,Creighton,2010-11,2013-14,145,145,31.5,7.9,14.3,6.0,10.2,1.9,4.1,4.1,4.9,1.9,5.6,7.5,1.3,0.2,0.1,2.2,1.8,21.7,.550,.587,.458,.831,.652,.616,F,Creighton,doug-mcdermott-1
284,K.J. McDaniels,PHI,2,32,2014,Clemson,2011-12,2013-14,94,61,24.3,3.9,8.6,3.0,5.8,0.9,2.8,2.4,3.2,1.8,3.0,4.8,0.9,0.9,1.9,1.5,1.8,11.0,.450,.516,.313,.767,.547,.501,F,Clemson,kj-mcdaniels-1
285,Jalen McDaniels,CHA,2,52,2019,San Diego State,2017-18,2018-19,67,55,27.9,5.0,10.0,4.6,8.6,0.4,1.4,2.7,3.6,2.1,5.8,7.9,1.5,1.0,0.5,1.8,2.6,13.2,.504,.538,.298,.758,.565,.525,F,San Diego State,jalen-mcdaniels-1
286,Jaden McDaniels,LAL,1,28,2020,Washington,2019-20,2019-20,31,21,31.1,4.4,10.8,3.0,6.7,1.4,4.1,2.8,3.7,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,.405,.445,.339,.763,.515,.469,F,Washington,jaden-mcdaniels-1
287,Chris McCullough,NJN,1,29,2015,Syracuse,2014-15,2014-15,16,16,28.1,3.4,7.1,3.3,7.0,0.1,0.1,2.5,4.4,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,.478,.473,1.000,.563,.508,.482,F,Syracuse,chris-mccullough-1
288,C.J. McCollum,POR,1,10,2013,Lehigh,2009-10,2012-13,111,108,32.9,6.9,15.7,5.0,10.5,2.0,5.2,5.5,6.7,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,.439,.470,.377,.825,.563,.501,G,Lehigh,cj-mccollum-1
289,Patrick McCaw,MIL,2,38,2016,UNLV,2014-15,2015-16,65,48,31.7,4.2,9.6,2.3,4.3,1.9,5.2,1.9,2.5,0.9,3.3,4.2,3.3,2.0,0.4,1.9,1.9,12.2,.439,.527,.367,.753,.567,.539,G,UNLV,patrick-mccaw-1
290,Ray McCallum,SAC,2,36,2013,Detroit Mercy,2010-11,2012-13,102,101,34.5,5.4,11.5,4.4,8.2,1.0,3.3,4.2,5.8,1.2,3.5,4.8,4.4,1.7,0.3,2.3,2.1,15.9,.465,.536,.290,.723,.556,.507,G,Detroit Mercy,ray-mccallum-2
291,Miles McBride,OKC,2,36,2021,West Virginia,2019-20,2020-21,60,30,28.0,4.3,10.3,3.2,7.1,1.2,3.2,2.8,3.6,0.8,2.3,3.1,3.3,1.5,0.4,1.6,1.7,12.6,.419,.442,.368,.785,.525,.476,G,West Virginia,miles-mcbride-1
292,Skylar Mays,ATL,2,50,2020,Louisiana State,2016-17,2019-20,130,121,30.5,4.0,9.0,2.7,5.1,1.3,3.9,3.1,3.7,0.5,3.1,3.6,2.9,1.6,0.2,1.8,1.7,12.4,.445,.520,.345,.845,.580,.519,G,Louisiana State,skylar-mays-1
293,Tyrese Maxey,PHI,1,21,2020,Kentucky,2019-20,2019-20,31,28,34.5,4.8,11.3,3.8,7.7,1.1,3.6,3.2,3.9,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,.427,.492,.292,.833,.531,.474,G,Kentucky,tyrese-maxey-1
294,Bennedict Mathurin,IND,1,6,2022,Arizona,2020-21,2021-22,63,49,29.4,4.9,10.7,2.9,5.6,1.9,5.0,3.2,4.1,1.3,4.0,5.3,2.0,0.9,0.2,1.5,1.8,14.8,.456,.521,.383,.789,.590,.546,G,Arizona,bennedict-mathurin-1
295,Frank Mason,SAC,2,34,2017,Kansas,2013-14,2016-17,145,113,30.0,4.2,9.2,2.9,6.2,1.3,3.0,3.3,4.4,0.5,2.9,3.4,4.0,1.1,0.1,1.9,2.0,13.0,.454,.471,.420,.761,.574,.524,G,Kansas,frank-mason-1
296,Tyrese Martin,GSW,2,51,2022,Connecticut,2018-19,2021-22,114,99,30.8,4.2,9.6,3.0,6.1,1.2,3.4,1.6,2.4,2.3,4.5,6.7,1.3,0.9,0.4,1.7,2.1,11.1,.435,.486,.346,.670,.520,.498,G,ConnecticutRhode Island,tyrese-martin-1
297,Jarell Martin,MEM,1,25,2015,Louisiana State,2013-14,2014-15,65,57,30.7,5.0,10.1,4.3,8.0,0.6,2.0,3.1,4.5,2.4,4.6,6.9,1.4,1.0,0.7,2.2,2.6,13.7,.494,.541,.308,.689,.560,.525,F,Louisiana State,jarell-martin-1
298,Cody Martin,CHA,2,36,2019,Nevada,2014-15,2018-19,122,87,28.9,3.7,7.4,3.3,6.1,0.4,1.3,1.9,2.7,1.4,3.2,4.6,3.6,1.3,0.8,1.6,2.3,9.7,.501,.539,.325,.689,.558,.529,F,NC StateNevada,cody-martin-1
299,Kendall Marshall,PHO,1,13,2012,North Carolina,2010-11,2011-12,73,55,28.8,2.5,5.6,1.8,3.8,0.7,1.8,1.5,2.2,0.2,2.2,2.3,8.0,1.1,0.1,2.6,1.5,7.2,.446,.484,.366,.693,.541,.505,G,North Carolina,kendall-marshall-1
300,Lauri Markkanen,MIN,1,7,2017,Arizona,2016-17,2016-17,37,37,30.8,5.0,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,.492,.545,.423,.835,.635,.584,F,Arizona,lauri-markkanen-1
301,Roy Devyn Marble,DEN,2,56,2014,Iowa,2010-11,2013-14,136,103,27.6,4.1,10.0,3.2,7.1,1.0,2.9,3.2,4.4,0.9,2.5,3.4,2.9,1.3,0.2,1.7,1.6,12.5,.415,.447,.338,.726,.516,.464,G,Iowa,roy-devyn-marble-1
302,Nico Mannion,GSW,2,48,2020,Arizona,2019-20,2019-20,32,32,32.3,4.5,11.5,2.8,6.4,1.7,5.1,3.3,4.2,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,.392,.444,.327,.797,.520,.465,G,Arizona,nico-mannion-1
303,Tre Mann,OKC,1,18,2021,Florida,2019-20,2020-21,53,28,24.4,3.6,8.5,2.3,4.9,1.3,3.6,1.8,2.2,0.5,3.1,3.6,1.9,0.9,0.1,1.9,2.1,10.2,.422,.477,.349,.788,.534,.497,G,Florida,tre-mann-1
304,Terance Mann,LAC,2,48,2019,Florida State,2015-16,2018-19,140,101,25.9,3.6,6.5,3.2,5.4,0.4,1.2,1.8,2.8,1.9,3.2,5.1,1.9,0.8,0.2,1.4,2.0,9.4,.552,.601,.327,.670,.602,.581,G,Florida State,terance-mann-1
305,Sandro Mamukelashvili,IND,2,54,2021,Seton Hall,2017-18,2020-21,115,79,24.4,3.5,7.6,2.6,5.0,0.9,2.6,1.7,2.6,1.7,4.0,5.7,1.6,0.6,0.7,1.6,2.0,9.6,.459,.521,.339,.663,.542,.517,F,Seton Hall,sandro-mamukelashvili-1
306,Ater Majok,LAL,2,58,2011,,2009-10,2009-10,26,22,14.7,1.0,2.3,1.0,2.3,0.0,0.0,0.3,0.8,1.2,1.8,3.0,0.2,0.2,1.6,0.8,2.0,2.3,.424,.424,,.409,.425,.424,F,Connecticut,ater-majok-1
307,Vernon Macklin,DET,2,52,2011,Florida,2009-10,2010-11,71,69,24.8,4.9,8.2,4.9,8.2,0.0,0.0,1.3,2.6,2.4,3.0,5.5,0.8,0.5,0.8,1.5,2.4,11.1,.599,.599,,.511,.591,.599,F,Florida,vernon-macklin-1
308,Shelvin Mack,WAS,2,34,2011,Butler,2009-10,2010-11,76,75,31.5,5.2,12.1,3.1,6.4,2.1,5.7,2.6,3.5,0.6,3.5,4.1,3.2,1.1,0.1,2.3,1.8,15.1,.429,.481,.370,.755,.549,.516,G,Butler,shelvin-mack-1
309,Trey Lyles,UTA,1,12,2015,Kentucky,2014-15,2014-15,36,21,23.0,3.3,6.7,3.1,5.9,0.1,0.8,2.1,2.8,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,.488,.536,.138,.735,.543,.496,F,Kentucky,trey-lyles-1
310,Tyler Lydon,UTA,1,24,2017,Syracuse,2015-16,2016-17,71,34,33.1,3.9,8.2,2.5,4.8,1.4,3.5,2.4,2.9,2.0,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,.476,.531,.400,.809,.602,.560,F,Syracuse,tyler-lydon-1
311,Seth Lundy,ATL,2,46,2023,Penn State,2019-20,2022-23,122,96,26.0,3.5,8.4,1.6,3.3,1.9,5.1,1.7,2.1,0.9,3.7,4.6,0.7,0.7,0.5,1.1,2.1,10.5,.412,.480,.368,.814,.558,.523,F,Penn State,seth-lundy-1
312,Kevon Looney,GSW,1,30,2015,UCLA,2014-15,2014-15,36,36,30.9,4.2,8.9,3.6,7.4,0.6,1.5,2.6,4.1,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,.470,.481,.415,.626,.532,.505,F,UCLA,kevon-looney-1
313,Chris Livingston,MIL,2,58,2023,Kentucky,2022-23,2022-23,34,26,22.4,2.3,5.4,1.8,3.7,0.5,1.7,1.1,1.6,1.1,3.1,4.2,0.7,0.4,0.4,0.9,1.7,6.3,.429,.488,.305,.722,.513,.478,F,Kentucky,chris-livingston-1
314,Isaiah Livers,DET,2,42,2021,Michigan,2017-18,2020-21,119,69,23.4,2.9,6.3,1.5,2.9,1.4,3.3,1.1,1.3,0.9,2.9,3.8,0.9,0.5,0.5,0.8,1.6,8.3,.465,.526,.412,.856,.604,.575,F,Michigan,isaiah-livers-1
315,Dereck Lively II,OKC,1,12,2023,Duke,2022-23,2022-23,34,27,20.6,2.3,3.4,2.2,3.1,0.1,0.4,0.6,1.0,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,.658,.721,.154,.600,.662,.667,C,Duke,dereck-lively-ii-1
316,Nassir Little,POR,1,25,2019,North Carolina,2018-19,2018-19,36,0,18.2,3.6,7.6,3.3,6.2,0.4,1.4,2.1,2.8,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,.478,.527,.269,.770,.549,.504,F,North Carolina,nassir-little-1
317,Damian Lillard,POR,1,6,2012,Weber State,2009-10,2011-12,73,72,33.6,6.4,14.2,3.7,7.4,2.7,6.8,6.2,7.1,0.5,4.0,4.4,3.7,1.3,0.2,2.4,2.0,21.6,.449,.499,.395,.871,.615,.544,G,Weber State,damian-lillard-1
318,DeAndre Liggins,ORL,2,53,2011,Kentucky,2009-10,2010-11,67,28,24.6,2.2,5.2,1.5,3.2,0.7,2.0,1.4,2.1,0.6,2.7,3.3,1.8,1.0,0.5,1.1,2.0,6.5,.423,.458,.368,.632,.522,.494,G,Kentucky,deandre-liggins-1
319,E.J. Liddell,NOH,2,41,2022,Ohio State,2019-20,2021-22,92,61,26.4,4.7,9.8,3.8,7.3,0.8,2.5,3.9,5.2,1.7,4.4,6.1,1.6,0.5,1.6,1.7,2.4,14.1,.480,.528,.341,.749,.577,.523,F,Ohio State,ej-liddell-1
320,Scottie Lewis,CHA,2,56,2021,Florida,2019-20,2020-21,51,31,27.6,2.7,6.2,2.0,4.1,0.7,2.1,2.0,2.7,0.9,2.5,3.4,1.1,1.4,1.1,1.4,2.3,8.2,.443,.493,.343,.759,.551,.500,G,Florida,scottie-lewis-1
321,Maxwell Lewis,DEN,2,40,2023,Pepperdine,2021-22,2022-23,52,33,26.6,5.2,11.4,3.7,7.1,1.5,4.3,2.8,3.5,1.1,3.6,4.7,2.2,1.0,0.7,2.9,2.5,14.6,.453,.512,.354,.791,.559,.519,F,Pepperdine,maxwell-lewis-1
322,Kira Lewis Jr.,NOH,1,13,2020,Alabama,2018-19,2019-20,65,65,34.5,5.6,12.5,3.9,7.8,1.7,4.7,3.0,3.8,0.6,3.0,3.6,4.0,1.3,0.4,2.8,2.2,15.9,.447,.498,.362,.793,.555,.515,G,Alabama,kira-lewisjr-1
323,Caris LeVert,IND,1,20,2016,Michigan,2012-13,2015-16,103,70,26.4,3.6,8.2,2.3,4.9,1.3,3.2,2.0,2.6,0.4,3.2,3.5,2.7,0.9,0.2,1.3,1.5,10.4,.434,.456,.401,.770,.552,.514,G,Michigan,caris-levert-1
324,Jon Leuer,MIL,2,40,2011,Wisconsin,2009-10,2010-11,58,56,31.6,6.4,13.0,5.1,9.7,1.2,3.3,3.1,3.9,1.6,5.1,6.6,1.6,0.5,1.1,1.3,2.2,17.1,.489,.528,.375,.793,.574,.536,F,Wisconsin,jon-leuer-1
325,Travis Leslie,LAC,2,47,2011,Georgia,2009-10,2010-11,64,64,30.8,5.4,11.0,5.1,10.2,0.3,0.8,3.5,4.5,3.2,3.9,7.0,2.7,1.3,0.8,2.4,2.0,14.6,.489,.501,.352,.766,.553,.503,G,Georgia,travis-leslie-1
326,Meyers Leonard,POR,1,11,2012,Illinois,2010-11,2011-12,65,30,19.8,3.0,5.4,3.0,5.2,0.0,0.2,1.6,2.2,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,.567,.585,.083,.729,.601,.569,C,Illinois,meyers-leonard-1
327,Kawhi Leonard,IND,1,15,2011,San Diego State,2009-10,2010-11,70,69,31.9,5.4,12.0,4.8,9.7,0.6,2.3,2.8,3.7,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,.449,.497,.250,.744,.513,.473,F,San Diego State,kawhi-leonard-1
328,Alex Len,PHO,1,5,2013,Maryland,2011-12,2012-13,60,48,24.5,3.8,7.0,3.7,6.8,0.0,0.2,2.2,3.3,2.4,4.5,7.0,0.8,0.2,2.1,1.6,2.6,9.7,.538,.548,.111,.663,.569,.539,C,Maryland,alex-len-1
329,Saben Lee,UTA,2,38,2020,Vanderbilt,2017-18,2019-20,96,78,30.7,4.6,9.7,3.7,7.0,0.9,2.8,3.9,5.4,0.6,2.7,3.3,3.7,1.3,0.2,2.7,2.1,13.9,.471,.527,.328,.718,.567,.517,G,Vanderbilt,saben-lee-1
330,Malcolm Lee,CHI,2,43,2011,UCLA,2009-10,2010-11,65,65,33.9,4.2,9.7,3.2,6.1,1.0,3.6,3.2,4.3,1.0,2.8,3.7,2.6,0.9,0.2,2.1,2.4,12.6,.434,.528,.277,.743,.537,.486,G,UCLA,malcolm-lee-1
331,TJ Leaf,IND,1,18,2017,UCLA,2016-17,2016-17,35,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3.0,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,.617,.644,.466,.679,.660,.652,F,UCLA,tj-leaf-1
332,Jake Layman,ORL,2,47,2016,Maryland,2012-13,2015-16,141,115,27.9,3.4,7.7,2.0,3.8,1.4,3.9,1.9,2.6,1.1,3.7,4.8,1.1,0.9,0.8,1.4,1.9,10.2,.445,.530,.362,.759,.572,.536,F,Maryland,jake-layman-1
333,Gani Lawal,PHO,2,46,2010,Georgia Tech,2009-10,2009-10,36,36,25.8,4.8,9.0,4.8,9.0,0.0,0.0,3.5,6.2,2.9,5.6,8.5,0.4,0.4,1.4,2.2,2.1,13.1,.529,.531,.000,.572,.547,.529,F,Georgia Tech,gani-lawal-1
334,Zach LaVine,MIN,1,13,2014,UCLA,2013-14,2013-14,37,1,24.4,3.4,7.8,2.1,4.3,1.3,3.5,1.3,1.8,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4,.441,.494,.375,.691,.545,.524,G,UCLA,zach-lavine-1
335,Shane Larkin,ATL,1,18,2013,Miami (FL),2011-12,2012-13,68,54,31.3,3.8,8.6,2.3,4.6,1.5,4.0,2.2,2.7,0.5,2.7,3.2,3.6,1.8,0.1,2.1,1.6,11.2,.438,.491,.375,.808,.566,.524,G,Miami (FL),shane-larkin-1
336,Jake Laravia,MIN,1,19,2022,Wake Forest,2019-20,2021-22,88,83,29.5,4.3,8.3,3.8,6.8,0.6,1.5,3.0,4.0,2.3,4.0,6.3,2.6,1.2,1.0,2.2,2.9,12.2,.524,.558,.371,.743,.599,.558,G,Indiana StateWake Forest,jake-laravia-1
337,Romeo Langford,BOS,1,14,2019,Indiana,2018-19,2018-19,32,32,34.1,5.5,12.3,4.5,8.4,1.1,3.9,4.4,6.1,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,.448,.530,.272,.722,.542,.491,G,Indiana,romeo-langford-1
338,Jeremy Lamb,HOU,1,12,2012,Connecticut,2010-11,2011-12,75,74,32.1,5.3,11.0,3.8,6.6,1.6,4.5,1.9,2.4,1.1,3.6,4.7,1.7,1.0,0.6,1.6,1.6,14.1,.482,.573,.348,.806,.580,.553,G,Connecticut,jeremy-lamb-1
339,Doron Lamb,MIL,2,42,2012,Kentucky,2010-11,2011-12,78,49,29.8,4.3,8.9,2.5,5.0,1.8,3.9,2.6,3.2,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2.0,13.1,.485,.492,.475,.811,.627,.589,G,Kentucky,doron-lamb-1
340,Cady Lalanne,SAS,2,55,2015,Massachusetts,2011-12,2014-15,111,80,25.2,3.8,6.9,3.7,6.5,0.1,0.4,2.2,3.4,3.1,4.9,7.9,0.2,0.4,1.8,1.9,2.5,10.0,.553,.575,.213,.666,.586,.559,C,Massachusetts,cady-lalanne-1
341,Skal Labissiere,PHO,1,28,2016,Kentucky,2015-16,2015-16,36,18,15.8,2.7,5.3,2.7,5.2,0.0,0.1,1.1,1.7,1.0,2.2,3.1,0.3,0.3,1.6,0.9,3.0,6.6,.516,.521,.000,.661,.540,.516,F,Kentucky,skal-labissiere-1
342,Kyle Kuzma,NJN,1,27,2017,Utah,2014-15,2016-17,96,64,21.0,3.9,7.7,3.3,5.9,0.5,1.8,1.8,2.8,1.6,3.9,5.5,1.5,0.3,0.4,1.6,1.6,10.1,.506,.567,.302,.633,.560,.541,F,Utah,kyle-kuzma-1
343,Balsa Koprivica,CHA,2,57,2021,Florida State,2019-20,2020-21,51,20,14.6,2.7,4.3,2.7,4.3,0.0,0.0,1.3,1.9,1.6,2.3,3.9,0.5,0.3,0.8,1.0,2.0,6.8,.632,.630,1.000,.677,.648,.634,C,Florida State,balsa-koprivica-1
344,Christian Koloko,TOR,2,33,2022,Arizona,2019-20,2021-22,91,56,17.9,2.9,4.9,2.9,4.8,0.0,0.1,1.6,2.3,2.0,3.1,5.1,0.7,0.5,1.8,0.9,2.3,7.3,.590,.597,.000,.670,.611,.590,C,Arizona,christian-koloko-1
345,Kevin Knox,NYK,1,9,2018,Kentucky,2017-18,2017-18,37,37,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,.445,.509,.341,.774,.556,.510,F,Kentucky,kevin-knox-1
346,Brandon Knight,DET,1,8,2011,Kentucky,2010-11,2010-11,38,38,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,.423,.461,.377,.795,.553,.508,G,Kentucky,brandon-knight-1
347,Corey Kispert,WAS,1,15,2021,Gonzaga,2017-18,2020-21,137,108,27.4,4.1,8.4,2.1,3.6,2.0,4.8,1.5,1.8,1.0,3.1,4.0,1.4,0.7,0.4,1.0,1.6,11.6,.483,.585,.408,.824,.626,.601,F,Gonzaga,corey-kispert-1
348,George King,PHO,2,59,2018,Colorado,2013-14,2017-18,127,89,22.6,3.5,7.9,2.1,4.3,1.4,3.6,1.8,2.4,1.4,3.9,5.4,0.7,0.4,0.3,1.5,1.8,10.2,.444,.478,.401,.731,.564,.534,G,Colorado,george-king-1
349,Michael Kidd-Gilchrist,CHA,1,2,2012,Kentucky,2011-12,2011-12,40,39,31.1,4.0,8.2,3.7,6.9,0.3,1.3,3.6,4.8,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4,11.9,.491,.535,.255,.745,.570,.511,F,Kentucky,michael-kidd-gilchrist-1
350,Walker Kessler,MEM,1,22,2022,Auburn,2020-21,2021-22,63,34,17.9,3.4,5.7,3.2,4.8,0.2,0.9,1.2,2.1,2.1,3.7,5.8,0.6,0.8,2.9,0.8,2.0,8.2,.601,.671,.204,.577,.615,.616,F,AuburnNorth Carolina,walker-kessler-1
351,Luke Kennard,DET,1,12,2017,Duke,2015-16,2016-17,73,47,31.2,5.2,11.2,3.2,6.1,2.0,5.1,3.4,3.9,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7,.461,.526,.383,.867,.600,.548,G,Duke,luke-kennard-1
352,Ryan Kelly,LAL,2,48,2013,Duke,2009-10,2012-13,126,69,19.3,2.5,5.4,1.7,3.3,0.8,2.1,1.7,2.2,1.1,2.6,3.7,0.9,0.6,1.1,0.8,1.9,7.5,.460,.513,.379,.805,.585,.535,F,Duke,ryan-kelly-3
353,Trevor Keels,NYK,2,42,2022,Duke,2021-22,2021-22,36,26,30.2,4.1,9.8,2.6,4.9,1.5,4.8,1.8,2.7,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,.419,.522,.312,.670,.520,.496,G,Duke,trevor-keels-1
354,Arsalan Kazemi,WAS,2,54,2013,Oregon,2009-10,2012-13,130,110,29.0,3.8,6.9,3.8,6.9,0.0,0.0,4.0,5.9,3.1,7.0,10.1,1.5,1.7,0.8,1.8,2.5,11.7,.559,.560,.000,.678,.604,.559,F,OregonRice,arsalan-kazemi-1
355,Frank Kaminsky,CHA,1,9,2015,Wisconsin,2011-12,2014-15,144,79,20.4,3.7,7.0,3.0,5.1,0.7,1.9,2.1,2.7,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,.522,.580,.369,.763,.609,.573,C,Wisconsin,frank-kaminsky-1
356,Mfiondu Kabengele,NJN,1,27,2019,Florida State,2017-18,2018-19,71,0,18.3,3.5,7.0,3.0,5.8,0.5,1.3,2.8,3.9,2.0,3.3,5.3,0.3,0.5,1.2,1.2,2.4,10.3,.498,.526,.374,.724,.580,.532,F,Florida State,mfiondu-kabengele-1
357,Kris Joseph,BOS,2,51,2012,Syracuse,2009-10,2011-12,106,75,30.8,4.2,9.3,3.2,6.4,1.0,2.9,3.4,4.6,1.5,3.7,5.2,1.8,1.4,0.6,1.8,1.8,12.8,.451,.504,.337,.734,.555,.504,F,Syracuse,kris-joseph-1
358,Cory Joseph,SAS,1,29,2011,Texas,2010-11,2010-11,36,36,32.4,3.8,8.9,2.3,5.4,1.4,3.5,1.4,2.0,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8,10.4,.422,.429,.413,.699,.526,.503,G,Texas,cory-joseph-1
359,Jerome Jordan,MIL,2,44,2010,Tulsa,2009-10,2009-10,35,35,29.8,5.3,9.6,5.3,9.6,0.0,0.0,4.9,7.1,2.4,6.7,9.1,1.3,0.5,2.3,2.3,2.8,15.4,.549,.549,,.688,.595,.549,C,Tulsa,jerome-jordan-1
360,Tyus Jones,CLE,1,24,2015,Duke,2014-15,2014-15,39,39,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3.0,3.5,5.6,1.5,0.1,1.9,1.2,11.8,.417,.440,.379,.889,.575,.489,G,Duke,tyus-jones-1
361,Tre Jones,SAS,2,41,2020,Duke,2018-19,2019-20,65,65,34.7,4.5,10.8,3.5,7.6,1.0,3.2,2.4,3.1,0.8,3.2,4.0,5.8,1.8,0.2,2.0,1.6,12.4,.419,.464,.313,.767,.507,.466,G,Duke,tre-jones-1
