,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
45,Coby White,CHI,1,7,2019,North Carolina,2018-19,2018-19,35,35,28.5,5.4,12.7,3.0,6.1,2.3,6.6,3.0,3.7,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,.423,.500,.353,.800,.556,.516,G,North Carolina,coby-white-1
46,Aaron White,WAS,2,49,2015,Iowa,2011-12,2014-15,140,119,28.1,4.2,8.2,3.8,6.6,0.4,1.6,4.4,5.7,2.1,4.4,6.4,1.4,1.1,0.6,1.5,1.6,13.3,.517,.572,.281,.773,.611,.543,F,Iowa,aaron-white-3
47,Blake Wesley,SAS,1,25,2022,Notre Dame,2021-22,2021-22,35,28,29.3,5.1,12.6,3.5,7.5,1.5,5.1,2.7,4.1,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,.404,.471,.303,.657,.495,.465,G,Notre Dame,blake-wesley-1
48,Thomas Welsh,DEN,2,58,2018,UCLA,2014-15,2017-18,132,94,25.0,4.0,7.5,3.7,6.6,0.3,0.9,1.0,1.3,2.4,5.5,7.8,0.8,0.4,1.1,0.7,2.5,9.5,.537,.554,.407,.798,.582,.561,C,UCLA,thomas-welsh-1
49,Quinndary Weatherspoon,SAS,2,49,2019,Mississippi State,2015-16,2018-19,131,117,31.2,5.4,11.2,4.0,7.4,1.4,3.9,3.2,4.0,1.4,3.7,5.2,2.4,1.5,0.4,2.3,2.3,15.4,.480,.539,.368,.788,.585,.544,G,Mississippi State,quinndary-weatherspoon-1
50,Peyton Watson,OKC,1,30,2022,UCLA,2021-22,2021-22,32,0,12.7,1.2,3.7,1.0,2.7,0.2,1.0,0.7,1.0,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,.322,.356,.226,.688,.394,.352,G,UCLA,peyton-watson-1
51,Tremont Waters,BOS,2,51,2019,Louisiana State,2017-18,2018-19,66,61,32.7,5.2,12.2,3.2,6.5,1.9,5.7,3.3,4.2,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,.423,.496,.340,.807,.551,.503,G,Louisiana State,tremont-waters-1
52,TyTy Washington Jr.,MEM,1,29,2022,Kentucky,2021-22,2021-22,31,29,29.2,4.9,10.9,3.7,7.5,1.2,3.3,1.5,2.1,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,.451,.496,.350,.750,.528,.504,G,Kentucky,tyty-washingtonjr-1
53,PJ Washington,CHA,1,12,2019,Kentucky,2017-18,2018-19,72,63,28.3,4.5,8.7,4.0,7.3,0.5,1.4,3.4,5.4,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,.521,.547,.384,.632,.577,.551,F,Kentucky,pj-washington-1
54,Willie Warren,LAC,2,54,2010,Oklahoma,2009-10,2009-10,21,19,32.3,5.0,11.5,3.6,6.9,1.4,4.6,4.8,6.0,0.7,2.6,3.3,4.1,1.0,0.0,3.8,2.3,16.3,.438,.524,.309,.795,.567,.500,G,Oklahoma,willie-warren-1
55,T.J. Warren,PHO,1,14,2014,NC State,2012-13,2013-14,70,49,31.2,7.5,13.6,6.9,11.5,0.6,2.0,2.8,4.3,2.7,3.0,5.7,1.0,1.5,0.5,1.7,2.5,18.5,.555,.598,.315,.654,.593,.579,F,NC State,tj-warren-1
56,Jordan Walsh,SAC,2,38,2023,Arkansas,2022-23,2022-23,36,22,24.4,2.6,6.0,2.1,4.0,0.6,2.0,1.3,1.8,1.2,2.7,3.9,0.9,1.1,0.5,1.0,2.9,7.1,.433,.510,.278,.712,.513,.479,F,Arkansas,jordan-walsh-1
57,Tyrone Wallace,UTA,2,60,2016,California,2012-13,2015-16,129,114,31.6,4.6,11.0,3.6,7.9,0.9,3.1,2.6,4.2,1.0,4.2,5.2,3.4,1.1,0.4,2.2,2.5,12.6,.415,.464,.292,.613,.485,.457,G,California,tyrone-wallace-1
58,Cason Wallace,DAL,1,10,2023,Kentucky,2022-23,2022-23,32,32,32.2,4.3,9.8,3.0,5.8,1.4,4.0,1.7,2.2,0.9,2.8,3.7,4.3,2.0,0.5,2.1,2.4,11.7,.446,.514,.346,.757,.543,.516,G,Kentucky,cason-wallace-1
59,John Wall,WAS,1,1,2010,Kentucky,2009-10,2009-10,37,37,34.8,5.5,11.8,4.5,8.8,1.0,3.1,4.7,6.3,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,.461,.509,.325,.754,.562,.503,G,Kentucky,john-wall-1
60,Lonnie Walker,SAS,1,18,2018,Miami (FL),2017-18,2017-18,32,18,27.8,4.1,9.9,2.4,4.9,1.8,5.1,1.5,2.0,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,.415,.487,.346,.738,.527,.503,G,Miami (FL),lonnie-walker-2
61,Kemba Walker,CHA,1,9,2011,Connecticut,2009-10,2010-11,75,75,36.5,6.2,14.9,4.7,10.4,1.5,4.5,5.5,6.9,1.1,3.8,4.9,4.7,2.0,0.3,2.6,1.5,19.5,.419,.457,.333,.799,.537,.470,G,Connecticut,kemba-walker-1
62,Jarace Walker,WAS,1,8,2023,Houston,2022-23,2022-23,36,35,27.6,4.4,9.4,3.4,6.6,1.0,2.8,1.5,2.2,2.3,4.5,6.8,1.8,1.0,1.3,1.5,2.1,11.2,.465,.515,.347,.663,.534,.516,F,Houston,jarace-walker-1
63,Jabari Walker,POR,2,57,2022,Colorado,2020-21,2021-22,59,33,22.0,3.9,8.1,2.9,5.6,1.0,2.5,2.7,3.5,1.7,5.4,7.2,0.9,0.6,0.6,1.8,2.3,11.5,.479,.515,.399,.783,.589,.541,F,Colorado,jabari-walker-1
64,Dion Waiters,CLE,1,4,2012,Syracuse,2010-11,2011-12,71,0,20.4,3.5,7.7,2.5,4.9,1.0,2.8,1.8,2.3,0.4,1.5,1.9,2.0,1.5,0.2,1.1,1.6,9.7,.453,.513,.348,.753,.551,.516,G,Syracuse,dion-waiters-1
65,Moritz Wagner,LAL,1,25,2018,Michigan,2015-16,2017-18,107,77,21.0,3.9,7.2,2.9,4.5,1.0,2.7,1.5,2.2,1.2,3.3,4.5,0.5,0.8,0.4,1.2,2.5,10.4,.547,.643,.385,.698,.633,.618,F,Michigan,moritz-wagner-1
66,Franz Wagner,ORL,1,8,2021,Michigan,2019-20,2020-21,55,55,31.2,4.3,9.3,2.9,5.0,1.4,4.3,2.0,2.4,0.8,5.3,6.1,2.0,1.3,0.8,1.4,2.4,12.0,.465,.583,.325,.835,.577,.539,G,Michigan,franz-wagner-1
67,Nikola Vucevic,PHI,1,16,2011,Southern California,2009-10,2010-11,64,64,33.7,5.3,10.6,4.8,8.7,0.6,1.9,2.9,3.9,3.0,6.9,9.9,1.4,0.6,1.3,1.8,2.8,14.1,.504,.546,.311,.742,.569,.532,F,Southern California,nikola-vucevic-1
68,Noah Vonleh,CHA,1,9,2014,Indiana,2013-14,2013-14,30,29,26.5,3.8,7.2,3.2,6.1,0.5,1.1,3.2,4.5,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7,11.3,.523,.530,.485,.716,.604,.560,F,Indiana,noah-vonleh-1
69,Rashad Vaughn,MIL,1,17,2015,UNLV,2014-15,2014-15,23,23,32.3,6.3,14.3,3.9,8.1,2.3,6.1,3.0,4.3,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,.439,.481,.383,.694,.547,.521,G,UNLV,rashad-vaughn-1
70,Devin Vassell,SAS,1,11,2020,Florida State,2018-19,2019-20,63,30,19.3,3.1,6.6,2.0,3.9,1.1,2.7,1.1,1.5,0.8,2.4,3.2,1.1,1.0,0.6,0.6,1.4,8.4,.475,.514,.417,.720,.579,.559,G,Florida State,devin-vassell-1
71,Greivis Vasquez,MEM,1,28,2010,Maryland,2009-10,2009-10,33,32,33.9,6.7,15.5,4.6,9.7,2.1,5.8,4.2,4.9,1.2,3.5,4.6,6.3,1.7,0.4,3.4,2.1,19.6,.429,.470,.359,.857,.549,.496,G,Maryland,greivis-vasquez-1
72,Jarvis Varnado,MIA,2,41,2010,Mississippi State,2009-10,2009-10,36,36,31.7,5.1,8.8,5.1,8.8,0.0,0.0,3.6,5.8,3.0,7.3,10.3,0.9,0.7,4.7,2.0,2.4,13.8,.582,.582,,.610,.597,.582,F,Mississippi State,jarvis-varnado-1
73,Jarred Vanderbilt,ORL,2,41,2018,Kentucky,2017-18,2017-18,14,0,17.0,2.1,4.9,2.1,4.8,0.0,0.1,1.7,2.7,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,.426,.433,.000,.632,.476,.426,F,Kentucky,jarred-vanderbilt-1
74,Denzel Valentine,CHI,1,14,2016,Michigan State,2012-13,2015-16,144,116,29.0,4.0,9.1,2.2,4.6,1.8,4.5,1.5,2.0,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,.442,.476,.408,.779,.569,.544,G,Michigan State,denzel-valentine-1
75,Tyler Ulis,PHO,2,34,2016,Kentucky,2014-15,2015-16,72,35,30.1,3.6,8.4,2.4,5.1,1.2,3.3,2.9,3.4,0.5,1.9,2.4,5.3,1.2,0.1,1.5,1.7,11.3,.427,.462,.371,.846,.563,.499,G,Kentucky,tyler-ulis-1
76,Ekpe Udoh,GSW,1,6,2010,Baylor,2009-10,2009-10,36,36,35.1,5.3,10.8,5.1,10.1,0.2,0.7,3.1,4.5,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,.490,.505,.269,.685,.535,.499,C,Baylor,ekpe-udoh-1
77,Hunter Tyson,OKC,2,37,2023,Clemson,2018-19,2022-23,140,73,20.1,2.7,6.0,1.5,2.7,1.2,3.3,1.4,1.8,0.8,3.9,4.8,0.8,0.6,0.2,0.7,1.4,8.1,.453,.558,.366,.790,.587,.553,F,Clemson,tyson-hunter-1
78,Myles Turner,IND,1,11,2015,Texas,2014-15,2014-15,34,7,22.2,3.4,7.6,2.9,5.7,0.5,1.8,2.8,3.3,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,.455,.513,.274,.839,.556,.488,F,Texas,myles-turner-1
79,Evan Turner,PHI,1,2,2010,Ohio State,2009-10,2009-10,31,31,35.7,7.6,14.7,7.0,13.0,0.6,1.8,4.5,5.9,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8,20.4,.519,.540,.364,.754,.581,.540,G,Ohio State,evan-turner-1
80,Gary Trent Jr.,SAC,2,37,2018,Duke,2017-18,2017-18,37,37,33.9,4.8,11.5,2.2,5.0,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,.415,.430,.402,.876,.567,.528,G,Duke,gary-trentjr-1
81,Karl-Anthony Towns,MIN,1,1,2015,Kentucky,2014-15,2014-15,39,39,21.1,3.7,6.6,3.7,6.4,0.1,0.2,2.8,3.4,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,.566,.577,.250,.813,.627,.570,F,Kentucky,karl-anthony-towns-1
82,Obi Toppin,NYK,1,8,2020,Dayton,2018-19,2019-20,64,46,29.0,7.0,10.8,6.3,9.2,0.7,1.6,2.5,3.6,1.4,5.2,6.6,2.0,0.8,1.0,2.0,1.9,17.1,.647,.688,.417,.706,.687,.679,F,Dayton,obadiah-toppin-1
83,J.P. Tokoto,PHI,2,58,2015,North Carolina,2012-13,2014-15,107,67,22.3,2.7,5.8,2.5,5.0,0.2,0.7,1.2,2.3,1.4,3.0,4.4,2.7,1.2,0.3,1.7,2.0,6.7,.462,.491,.266,.544,.494,.479,F,North Carolina,jp-tokoto-1
84,Xavier Tillman,SAC,2,35,2020,Michigan State,2017-18,2019-20,105,45,21.3,3.3,5.7,3.1,5.0,0.2,0.7,1.9,2.7,2.0,4.6,6.6,1.6,0.8,1.5,1.3,2.2,8.7,.582,.628,.273,.695,.624,.599,F,Michigan State,xavier-tillman-1
85,Matisse Thybulle,BOS,1,20,2019,Washington,2015-16,2018-19,135,134,29.4,3.3,7.6,1.9,3.7,1.4,4.0,1.3,1.6,0.9,2.2,3.1,2.0,2.5,1.4,1.9,2.8,9.2,.429,.507,.358,.782,.550,.522,G,Washington,matisse-thybulle-1
86,Sindarius Thornwell,MIL,2,48,2017,South Carolina,2013-14,2016-17,132,132,31.8,4.5,11.5,3.2,7.5,1.4,4.0,4.3,5.6,1.6,3.6,5.2,3.0,1.5,0.6,2.5,2.4,14.7,.392,.420,.339,.771,.518,.451,G,South Carolina,sindarius-thornwell-1
