,Player,Round,Pick,Draft Year,College,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
328,Saben Lee,2,38,2020,Vanderbilt,96,78,30.7,4.6,9.7,3.7,7.0,0.9,2.8,3.9,5.4,0.6,2.7,3.3,3.7,1.3,0.2,2.7,2.1,13.9,0.471,0.527,0.328,0.718,0.567,0.517,G
329,Malcolm Lee,2,43,2011,UCLA,65,65,33.9,4.2,9.7,3.2,6.1,1.0,3.6,3.2,4.3,1.0,2.8,3.7,2.6,0.9,0.2,2.1,2.4,12.6,0.434,0.528,0.277,0.743,0.537,0.486,G
330,TJ Leaf,1,18,2017,UCLA,35,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3.0,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,0.617,0.644,0.466,0.679,0.66,0.652,F
331,Jake Layman,2,47,2016,Maryland,141,115,27.9,3.4,7.7,2.0,3.8,1.4,3.9,1.9,2.6,1.1,3.7,4.8,1.1,0.9,0.8,1.4,1.9,10.2,0.445,0.53,0.362,0.759,0.572,0.536,F
332,Gani Lawal,2,46,2010,Georgia Tech,36,36,25.8,4.8,9.0,4.8,9.0,0.0,0.0,3.5,6.2,2.9,5.6,8.5,0.4,0.4,1.4,2.2,2.1,13.1,0.529,0.531,0.0,0.572,0.547,0.529,F
333,Zach LaVine,1,13,2014,UCLA,37,1,24.4,3.4,7.8,2.1,4.3,1.3,3.5,1.3,1.8,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4,0.441,0.494,0.375,0.691,0.545,0.524,G
334,Shane Larkin,1,18,2013,Miami (FL),68,54,31.3,3.8,8.6,2.3,4.6,1.5,4.0,2.2,2.7,0.5,2.7,3.2,3.6,1.8,0.1,2.1,1.6,11.2,0.438,0.491,0.375,0.808,0.566,0.524,G
335,Jake Laravia,1,19,2022,Wake Forest,88,83,29.5,4.3,8.3,3.8,6.8,0.6,1.5,3.0,4.0,2.3,4.0,6.3,2.6,1.2,1.0,2.2,2.9,12.2,0.524,0.558,0.371,0.743,0.599,0.558,G
336,Romeo Langford,1,14,2019,Indiana,32,32,34.1,5.5,12.3,4.5,8.4,1.1,3.9,4.4,6.1,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,0.448,0.53,0.272,0.722,0.542,0.491,G
337,Jeremy Lamb,1,12,2012,Connecticut,75,74,32.1,5.3,11.0,3.8,6.6,1.6,4.5,1.9,2.4,1.1,3.6,4.7,1.7,1.0,0.6,1.6,1.6,14.1,0.482,0.573,0.348,0.806,0.58,0.553,G
338,Doron Lamb,2,42,2012,Kentucky,78,49,29.8,4.3,8.9,2.5,5.0,1.8,3.9,2.6,3.2,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2.0,13.1,0.485,0.492,0.475,0.811,0.627,0.589,G
339,Cady Lalanne,2,55,2015,Massachusetts,111,80,25.2,3.8,6.9,3.7,6.5,0.1,0.4,2.2,3.4,3.1,4.9,7.9,0.2,0.4,1.8,1.9,2.5,10.0,0.553,0.575,0.213,0.666,0.586,0.559,C
340,Skal Labissiere,1,28,2016,Kentucky,36,18,15.8,2.7,5.3,2.7,5.2,0.0,0.1,1.1,1.7,1.0,2.2,3.1,0.3,0.3,1.6,0.9,3.0,6.6,0.516,0.521,0.0,0.661,0.54,0.516,F
341,Kyle Kuzma,1,27,2017,Utah,96,64,21.0,3.9,7.7,3.3,5.9,0.5,1.8,1.8,2.8,1.6,3.9,5.5,1.5,0.3,0.4,1.6,1.6,10.1,0.506,0.567,0.302,0.633,0.56,0.541,F
342,Balsa Koprivica,2,57,2021,Florida State,51,20,14.6,2.7,4.3,2.7,4.3,0.0,0.0,1.3,1.9,1.6,2.3,3.9,0.5,0.3,0.8,1.0,2.0,6.8,0.632,0.63,1.0,0.677,0.648,0.634,C
343,Christian Koloko,2,33,2022,Arizona,91,56,17.9,2.9,4.9,2.9,4.8,0.0,0.1,1.6,2.3,2.0,3.1,5.1,0.7,0.5,1.8,0.9,2.3,7.3,0.59,0.597,0.0,0.67,0.611,0.59,C
344,Kevin Knox,1,9,2018,Kentucky,37,37,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,0.445,0.509,0.341,0.774,0.556,0.51,F
345,Brandon Knight,1,8,2011,Kentucky,38,38,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,0.423,0.461,0.377,0.795,0.553,0.508,G
346,Corey Kispert,1,15,2021,Gonzaga,137,108,27.4,4.1,8.4,2.1,3.6,2.0,4.8,1.5,1.8,1.0,3.1,4.0,1.4,0.7,0.4,1.0,1.6,11.6,0.483,0.585,0.408,0.824,0.626,0.601,F
347,George King,2,59,2018,Colorado,127,89,22.6,3.5,7.9,2.1,4.3,1.4,3.6,1.8,2.4,1.4,3.9,5.4,0.7,0.4,0.3,1.5,1.8,10.2,0.444,0.478,0.401,0.731,0.564,0.534,G
348,Michael Kidd-Gilchrist,1,2,2012,Kentucky,40,39,31.1,4.0,8.2,3.7,6.9,0.3,1.3,3.6,4.8,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4,11.9,0.491,0.535,0.255,0.745,0.57,0.511,F
349,Walker Kessler,1,22,2022,Auburn,63,34,17.9,3.4,5.7,3.2,4.8,0.2,0.9,1.2,2.1,2.1,3.7,5.8,0.6,0.8,2.9,0.8,2.0,8.2,0.601,0.671,0.204,0.577,0.615,0.616,F
350,Luke Kennard,1,12,2017,Duke,73,47,31.2,5.2,11.2,3.2,6.1,2.0,5.1,3.4,3.9,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7,0.461,0.526,0.383,0.867,0.6,0.548,G
351,Ryan Kelly,2,48,2013,Duke,126,69,19.3,2.5,5.4,1.7,3.3,0.8,2.1,1.7,2.2,1.1,2.6,3.7,0.9,0.6,1.1,0.8,1.9,7.5,0.46,0.513,0.379,0.805,0.585,0.535,F
352,Trevor Keels,2,42,2022,Duke,36,26,30.2,4.1,9.8,2.6,4.9,1.5,4.8,1.8,2.7,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,0.419,0.522,0.312,0.67,0.52,0.496,G
353,Arsalan Kazemi,2,54,2013,Oregon,130,110,29.0,3.8,6.9,3.8,6.9,0.0,0.0,4.0,5.9,3.1,7.0,10.1,1.5,1.7,0.8,1.8,2.5,11.7,0.559,0.56,0.0,0.678,0.604,0.559,F
354,Frank Kaminsky,1,9,2015,Wisconsin,144,79,20.4,3.7,7.0,3.0,5.1,0.7,1.9,2.1,2.7,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,0.522,0.58,0.369,0.763,0.609,0.573,C
355,Mfiondu Kabengele,1,27,2019,Florida State,71,0,18.3,3.5,7.0,3.0,5.8,0.5,1.3,2.8,3.9,2.0,3.3,5.3,0.3,0.5,1.2,1.2,2.4,10.3,0.498,0.526,0.374,0.724,0.58,0.532,F
356,Kris Joseph,2,51,2012,Syracuse,106,75,30.8,4.2,9.3,3.2,6.4,1.0,2.9,3.4,4.6,1.5,3.7,5.2,1.8,1.4,0.6,1.8,1.8,12.8,0.451,0.504,0.337,0.734,0.555,0.504,F
357,Cory Joseph,1,29,2011,Texas,36,36,32.4,3.8,8.9,2.3,5.4,1.4,3.5,1.4,2.0,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8,10.4,0.422,0.429,0.413,0.699,0.526,0.503,G
358,Jerome Jordan,2,44,2010,Tulsa,35,35,29.8,5.3,9.6,5.3,9.6,0.0,0.0,4.9,7.1,2.4,6.7,9.1,1.3,0.5,2.3,2.3,2.8,15.4,0.549,0.549,,0.688,0.595,0.549,C
359,Tyus Jones,1,24,2015,Duke,39,39,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3.0,3.5,5.6,1.5,0.1,1.9,1.2,11.8,0.417,0.44,0.379,0.889,0.575,0.489,G
360,Tre Jones,2,41,2020,Duke,65,65,34.7,4.5,10.8,3.5,7.6,1.0,3.2,2.4,3.1,0.8,3.2,4.0,5.8,1.8,0.2,2.0,1.6,12.4,0.419,0.464,0.313,0.767,0.507,0.466,G
361,Terrence Jones,1,18,2012,Kentucky,76,69,30.4,5.0,10.8,4.5,9.1,0.6,1.7,3.4,5.3,2.5,5.5,8.0,1.5,1.2,1.8,1.8,2.4,14.0,0.467,0.493,0.328,0.638,0.526,0.493,F
362,Perry Jones,1,28,2012,Baylor,63,62,32.2,5.5,10.5,5.3,9.8,0.2,0.7,2.6,3.8,2.7,4.7,7.4,1.2,0.7,0.7,2.0,2.3,13.7,0.522,0.539,0.279,0.678,0.558,0.531,F
363,Kai Jones,1,19,2021,Texas,53,14,19.7,2.3,4.1,1.9,3.0,0.4,1.1,1.2,1.8,1.5,2.5,4.0,0.5,0.7,1.0,1.1,2.3,6.2,0.553,0.627,0.345,0.677,0.618,0.598,F
364,Herb Jones,2,35,2021,Alabama,129,101,23.8,2.6,6.0,2.4,5.1,0.3,0.9,1.8,3.0,1.6,3.3,4.9,2.2,1.3,0.8,2.1,2.9,7.3,0.441,0.469,0.288,0.604,0.496,0.463,F
365,Dominique Jones,1,25,2010,South Florida,33,33,37.1,6.7,14.9,5.2,9.9,1.6,5.1,6.3,8.5,1.1,5.0,6.1,3.6,1.7,0.6,2.9,2.8,21.4,0.45,0.521,0.311,0.741,0.562,0.503,G
366,Damian Jones,1,30,2016,Vanderbilt,99,95,27.1,5.1,9.1,5.1,9.0,0.0,0.1,3.0,5.3,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3,0.566,0.57,0.125,0.565,0.573,0.567,C
367,Colby Jones,2,34,2023,Xavier,86,82,32.7,4.5,9.2,3.7,6.6,0.9,2.5,2.4,3.6,1.8,4.4,6.2,3.6,1.4,0.5,2.1,2.2,12.3,0.494,0.552,0.344,0.679,0.569,0.542,G
368,Darius Johnson-Odom,2,55,2012,Marquette,105,90,30.8,5.3,12.0,3.2,6.7,2.1,5.2,3.0,4.1,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,0.444,0.476,0.403,0.722,0.564,0.532,G
369,Wes Johnson,1,4,2010,Syracuse,35,35,35.0,5.9,11.8,4.5,8.3,1.5,3.5,3.2,4.1,2.1,6.4,8.5,2.2,1.7,1.8,2.3,2.1,16.5,0.502,0.54,0.415,0.772,0.6,0.564,F
370,Stanley Johnson,1,8,2015,Arizona,38,37,28.4,4.6,10.3,3.4,7.2,1.1,3.1,3.5,4.7,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,0.446,0.478,0.371,0.742,0.551,0.501,F
371,Orlando Johnson,2,36,2012,UC Santa Barbara,93,92,33.0,6.5,13.9,4.5,9.1,2.0,4.8,4.7,6.3,1.7,4.1,5.8,2.7,1.0,0.6,2.6,2.1,19.6,0.468,0.498,0.411,0.736,0.581,0.539,G
372,Nick Johnson,2,42,2014,Arizona,108,101,30.9,4.1,9.7,2.8,6.0,1.3,3.7,2.8,3.9,0.6,3.1,3.7,2.8,1.3,0.6,1.8,2.0,12.3,0.421,0.459,0.359,0.734,0.535,0.49,G
373,Keyontae Johnson,2,50,2023,Kansas State,108,92,29.0,5.0,9.6,4.0,7.1,1.0,2.5,2.2,3.1,1.6,5.0,6.6,1.6,1.1,0.3,2.0,2.5,13.1,0.519,0.563,0.389,0.718,0.593,0.568,F
374,Keon Johnson,1,21,2021,Tennessee,27,17,25.5,4.1,9.1,3.6,7.4,0.5,1.8,2.6,3.7,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,0.449,0.492,0.271,0.703,0.519,0.476,G
375,Keldon Johnson,1,29,2019,Kentucky,37,36,30.7,4.6,10.1,3.4,6.9,1.2,3.2,2.9,4.2,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,0.461,0.498,0.381,0.703,0.558,0.521,G
376,Jalen Johnson,1,20,2021,Duke,13,8,21.4,4.4,8.4,3.8,7.0,0.6,1.4,1.8,2.9,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,0.523,0.538,0.444,0.632,0.575,0.56,F
377,JaJuan Johnson,1,27,2011,Purdue,69,67,33.3,6.5,13.0,6.3,12.2,0.2,0.8,4.7,6.2,2.4,5.5,7.8,0.9,0.9,2.2,1.7,1.8,18.0,0.499,0.514,0.273,0.762,0.562,0.508,F
378,David Johnson,2,47,2021,Louisville,46,23,23.9,3.5,7.9,2.7,5.6,0.8,2.3,1.1,1.7,1.0,3.0,4.0,2.9,0.8,0.3,2.4,2.1,8.9,0.444,0.482,0.349,0.65,0.512,0.494,G
379,Dakari Johnson,2,48,2015,Kentucky,78,18,15.2,2.1,3.8,2.1,3.8,0.0,0.0,1.6,2.9,1.9,2.4,4.3,0.5,0.3,0.8,0.9,1.9,5.8,0.537,0.537,,0.559,0.55,0.537,C
380,Cameron Johnson,1,11,2019,North Carolina,135,90,25.4,3.8,8.4,1.9,3.6,1.9,4.7,1.7,2.0,1.1,3.0,4.1,1.8,0.8,0.3,1.0,1.8,11.2,0.457,0.523,0.405,0.817,0.601,0.571,G
381,Brice Johnson,1,25,2016,North Carolina,148,80,21.0,4.8,8.4,4.8,8.4,0.0,0.0,1.9,2.8,2.1,4.9,7.0,0.9,0.8,1.1,1.3,2.5,11.6,0.575,0.575,,0.708,0.598,0.575,F
382,Armon Johnson,2,34,2010,Nevada,34,34,34.5,6.4,13.0,5.9,10.9,0.5,2.1,2.4,3.5,0.8,2.6,3.4,5.6,0.8,0.4,3.4,1.8,15.7,0.495,0.544,0.239,0.678,0.537,0.515,G
383,Alize Johnson,2,50,2018,Missouri State,66,66,30.7,5.2,11.3,3.9,7.5,1.2,3.8,3.3,4.6,3.2,7.9,11.1,2.4,0.5,0.3,2.3,2.3,14.9,0.457,0.523,0.325,0.716,0.551,0.511,F
384,Isaiah Joe,2,49,2020,Arkansas,60,59,32.7,4.7,12.0,1.2,2.8,3.5,9.1,2.4,2.9,0.6,2.8,3.4,1.7,1.5,0.2,1.5,1.9,15.2,0.39,0.429,0.378,0.827,0.569,0.534,G
385,Justinian Jessup,2,51,2020,Boise State,129,120,31.2,4.2,9.7,1.7,3.6,2.5,6.2,1.3,1.6,0.6,3.6,4.1,2.0,1.2,0.5,1.3,2.1,12.3,0.432,0.474,0.408,0.831,0.584,0.561,G
386,Grant Jerrett,2,40,2013,Arizona,34,2,17.8,1.9,4.5,0.9,2.2,0.9,2.3,0.5,0.6,1.1,2.5,3.6,0.5,0.5,1.0,0.6,1.3,5.2,0.409,0.413,0.405,0.818,0.535,0.513,F
387,Ty Jerome,1,24,2019,Virginia,105,76,26.4,3.5,8.0,1.9,3.9,1.6,4.0,1.1,1.4,0.3,2.8,3.0,3.7,1.2,0.0,1.4,1.9,9.6,0.435,0.479,0.392,0.788,0.558,0.534,G
388,John Jenkins,1,23,2012,Vanderbilt,98,74,30.6,5.3,11.2,2.1,4.1,3.1,7.1,3.3,3.8,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,0.468,0.521,0.438,0.856,0.648,0.607,G
389,Charles Jenkins,2,44,2011,Hofstra,67,67,36.8,7.2,15.1,5.3,10.5,1.9,4.6,5.2,6.4,0.8,3.1,4.0,4.4,1.8,0.6,2.7,2.3,21.6,0.478,0.506,0.415,0.814,0.595,0.541,G
390,Cory Jefferson,2,60,2014,Baylor,130,76,19.9,3.3,6.1,3.2,5.7,0.1,0.4,2.2,3.3,1.9,3.7,5.6,0.4,0.3,1.3,0.8,1.7,8.9,0.543,0.556,0.34,0.66,0.582,0.554,F
391,Jaime Jaquez Jr.,1,18,2023,UCLA,134,126,31.4,5.0,10.6,4.2,8.0,0.9,2.6,2.5,3.4,2.0,4.3,6.3,2.0,1.3,0.5,1.5,2.0,13.4,0.475,0.524,0.328,0.737,0.55,0.516,G
392,Justin James,2,40,2019,Wyoming,131,73,28.1,5.3,11.9,4.1,8.4,1.2,3.6,4.0,5.4,0.8,4.6,5.4,2.6,0.9,0.5,2.5,2.2,15.7,0.442,0.487,0.337,0.731,0.542,0.493,G
393,Damion James,1,24,2010,Texas,34,34,30.3,6.2,12.3,5.1,9.6,1.1,2.8,4.6,6.8,3.1,7.1,10.3,1.0,1.7,1.2,2.0,2.9,18.0,0.501,0.535,0.383,0.674,0.578,0.544,F
394,Bernard James,2,33,2012,Florida State,69,57,24.6,4.0,6.3,4.0,6.3,0.0,0.0,1.8,3.4,2.6,4.4,7.0,0.3,0.8,2.4,1.8,1.8,9.7,0.627,0.627,,0.528,0.613,0.627,F
395,Trayce Jackson-Davis,2,57,2023,Indiana,126,126,32.5,6.7,11.9,6.7,11.9,0.0,0.0,4.4,6.5,2.8,6.3,9.1,2.2,0.7,2.1,1.9,1.9,17.9,0.565,0.566,0.0,0.676,0.596,0.565,F
396,Reggie Jackson,1,24,2011,Boston College,65,52,32.2,5.6,11.9,4.0,7.6,1.6,4.3,2.9,3.7,1.4,3.5,5.0,4.5,0.8,0.5,2.5,1.8,15.6,0.472,0.529,0.369,0.769,0.573,0.538,G
397,Pierre Jackson,2,42,2013,Baylor,74,55,32.8,5.3,11.9,3.1,6.4,2.1,5.6,4.0,5.0,0.8,2.5,3.3,6.5,1.6,0.0,3.5,2.3,16.7,0.441,0.496,0.379,0.808,0.583,0.53,G
398,Justin Jackson,1,15,2017,North Carolina,118,114,29.1,5.2,11.4,3.8,7.2,1.4,4.2,1.9,2.7,1.5,2.5,4.1,2.7,0.6,0.4,1.4,1.5,13.8,0.459,0.529,0.339,0.713,0.545,0.521,F
399,Justin Jackson,2,43,2018,Maryland,44,40,28.2,3.5,8.4,2.2,5.1,1.3,3.3,2.1,2.8,1.9,4.6,6.5,1.2,0.9,0.8,2.0,2.0,10.3,0.418,0.439,0.386,0.728,0.532,0.495,F
400,Josh Jackson,1,4,2017,Kansas,35,35,30.8,6.3,12.3,5.3,9.7,1.0,2.6,2.8,4.9,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,0.513,0.549,0.378,0.566,0.559,0.552,G
401,Jaren Jackson Jr.,1,4,2018,Michigan State,35,34,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3.0,3.8,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,0.513,0.596,0.396,0.797,0.647,0.595,F
402,Isaiah Jackson,1,22,2021,Kentucky,25,18,20.8,3.0,5.5,3.0,5.4,0.0,0.1,2.5,3.6,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,0.54,0.548,0.0,0.7,0.587,0.54,F
403,GG Jackson II,2,45,2023,South Carolina,32,29,31.9,5.5,14.4,3.8,9.1,1.7,5.3,2.6,3.9,1.5,4.4,5.9,0.8,0.8,0.8,2.7,1.5,15.4,0.384,0.419,0.324,0.677,0.474,0.444,F
404,Frank Jackson,2,31,2017,Duke,36,16,24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,0.473,0.539,0.395,0.755,0.598,0.564,G
405,Demetrius Jackson,2,45,2016,Notre Dame,103,88,31.5,4.0,8.6,2.7,5.2,1.3,3.4,2.3,3.0,0.9,2.3,3.1,3.3,1.1,0.2,1.7,1.9,11.7,0.467,0.523,0.381,0.782,0.582,0.542,G
406,Andre Jackson Jr.,2,36,2023,Connecticut,85,65,26.7,2.2,5.1,1.6,3.2,0.6,2.0,1.0,1.4,1.4,4.4,5.8,3.5,1.0,0.5,1.8,2.7,6.0,0.428,0.511,0.293,0.702,0.514,0.484,G
407,Wesley Iwundu,2,33,2017,Kansas State,132,123,28.2,3.2,6.9,2.8,5.8,0.4,1.1,2.6,3.8,1.2,3.5,4.7,2.8,0.9,0.4,2.1,2.1,9.5,0.463,0.488,0.338,0.688,0.54,0.491,F
408,Jaden Ivey,1,5,2022,Purdue,59,46,28.6,4.9,11.3,3.4,6.6,1.5,4.7,3.5,4.7,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,0.44,0.523,0.322,0.739,0.552,0.507,G
409,Colton Iverson,2,53,2013,Colorado State,101,50,21.7,3.1,5.7,3.1,5.7,0.0,0.0,2.2,3.8,2.3,4.2,6.4,1.0,0.5,0.8,1.6,2.3,8.3,0.535,0.535,,0.574,0.551,0.535,F
410,Jonathan Isaac,1,6,2017,Florida State,32,32,26.2,4.1,8.0,3.1,5.2,1.0,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,0.508,0.593,0.348,0.78,0.614,0.568,F
411,Kyrie Irving,1,1,2011,Duke,11,8,27.5,5.0,9.5,3.4,5.9,1.6,3.5,5.8,6.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,0.529,0.569,0.462,0.901,0.697,0.615,G
412,Brandon Ingram,1,2,2016,Duke,36,34,34.6,5.9,13.4,3.7,8.0,2.2,5.4,3.2,4.7,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,0.442,0.464,0.41,0.682,0.552,0.525,G
413,Nah'Shon Hyland,1,26,2021,VCU,55,33,25.5,4.6,10.4,2.2,4.4,2.4,6.0,2.0,2.4,0.3,3.0,3.3,1.9,1.3,0.3,2.0,2.3,13.6,0.441,0.5,0.399,0.827,0.588,0.557,G
414,Chandler Hutchison,1,22,2018,Boise State,123,89,24.0,4.3,8.9,3.6,7.1,0.6,1.8,2.9,4.2,1.1,4.3,5.5,2.1,1.0,0.2,1.9,2.2,12.0,0.476,0.508,0.353,0.687,0.551,0.512,G
415,R.J. Hunter,1,28,2015,Georgia State,99,98,34.7,5.6,13.3,3.1,6.1,2.6,7.2,4.5,5.3,0.7,4.1,4.8,2.4,1.9,0.9,1.7,2.2,18.4,0.423,0.505,0.354,0.853,0.579,0.519,G
416,De'Andre Hunter,1,4,2019,Virginia,71,38,26.6,4.4,8.5,3.4,6.3,0.9,2.3,2.8,3.6,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,0.509,0.541,0.419,0.773,0.606,0.564,G
417,Robbie Hummel,2,58,2012,Purdue,62,62,31.4,5.3,12.3,3.5,7.3,1.9,4.9,3.6,4.2,1.6,5.5,7.1,2.0,0.8,1.1,1.0,2.1,16.1,0.432,0.47,0.376,0.861,0.563,0.508,F
418,Elijah Hughes,2,39,2020,Syracuse,91,73,30.7,4.5,11.0,2.4,4.9,2.1,6.1,2.8,3.7,0.5,3.5,4.0,2.1,1.0,0.7,1.8,1.9,13.9,0.411,0.497,0.342,0.763,0.547,0.506,F
419,Josh Huestis,1,29,2014,Stanford,135,75,25.0,2.9,6.4,2.4,4.9,0.5,1.5,1.3,2.1,2.2,4.0,6.2,0.8,0.5,1.4,0.9,1.7,7.5,0.451,0.492,0.319,0.61,0.509,0.489,F
420,Kevin Huerter,1,19,2018,Maryland,65,65,31.9,4.2,9.0,2.1,3.6,2.1,5.4,1.5,2.0,0.8,4.2,5.0,3.0,0.8,0.7,1.9,2.1,12.0,0.466,0.572,0.394,0.748,0.603,0.584,G
421,Jett Howard,1,11,2023,Michigan,29,29,31.8,4.7,11.4,2.0,4.1,2.7,7.3,2.1,2.6,0.3,2.6,2.8,2.0,0.4,0.7,1.3,2.2,14.2,0.414,0.496,0.368,0.8,0.562,0.532,G
422,Caleb Houstan,2,32,2022,Michigan,34,34,32.0,3.2,8.4,1.4,3.4,1.8,5.0,1.9,2.4,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,0.384,0.426,0.355,0.783,0.53,0.489,G
423,Talen Horton-Tucker,2,46,2019,Iowa State,35,34,27.2,4.4,10.9,3.0,6.4,1.4,4.5,1.6,2.5,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,0.406,0.475,0.308,0.625,0.488,0.47,G
424,Jalen Hood-Schifino,1,17,2023,Indiana,32,32,33.1,5.3,12.6,4.1,9.1,1.2,3.5,1.8,2.4,0.4,3.7,4.1,3.7,0.8,0.3,2.8,2.4,13.5,0.417,0.449,0.333,0.776,0.492,0.463,G
425,Rodney Hood,1,23,2014,Duke,67,62,32.8,4.7,10.4,3.0,6.0,1.8,4.4,2.0,2.6,0.9,3.4,4.3,2.1,0.6,0.3,1.3,2.0,13.3,0.455,0.499,0.396,0.773,0.569,0.539,F
426,Tyler Honeycutt,2,35,2011,UCLA,59,51,31.7,3.6,8.4,2.5,5.3,1.1,3.1,2.0,2.9,1.7,5.2,6.9,2.8,1.2,1.7,2.8,1.9,10.3,0.431,0.473,0.359,0.684,0.528,0.497,F
427,Chet Holmgren,1,2,2022,Gonzaga,32,31,26.9,5.3,8.8,4.0,5.5,1.3,3.3,2.2,3.1,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,0.607,0.737,0.39,0.717,0.691,0.68,C
428,Richaun Holmes,2,37,2015,Bowling Green,95,63,26.5,4.2,7.7,3.9,6.8,0.3,0.9,2.7,3.8,2.6,4.2,6.9,0.7,0.8,2.6,1.5,2.5,11.5,0.554,0.58,0.353,0.697,0.605,0.574,F
429,Rondae Hollis-Jefferson,1,23,2015,Arizona,76,31,27.0,3.4,6.9,3.3,6.4,0.1,0.5,3.3,4.7,2.1,4.1,6.3,1.5,0.9,0.9,1.4,2.4,10.2,0.496,0.52,0.205,0.697,0.56,0.504,F
430,Aaron Holiday,1,23,2018,UCLA,101,65,31.8,4.7,10.5,2.9,6.2,1.8,4.2,3.1,3.9,0.5,2.7,3.2,4.7,1.2,0.2,3.0,2.7,14.3,0.45,0.469,0.422,0.795,0.58,0.535,G
431,Darington Hobson,2,37,2010,New Mexico,35,35,33.6,5.5,12.5,4.4,9.5,1.1,3.1,3.7,5.7,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,0.44,0.465,0.361,0.653,0.52,0.484,F
432,Darrun Hilliard,2,38,2015,Villanova,132,112,26.8,3.7,8.5,2.1,4.2,1.6,4.3,2.4,3.2,0.5,2.5,3.0,1.9,1.3,0.4,1.6,2.1,11.4,0.436,0.507,0.367,0.748,0.569,0.529,G
433,Solomon Hill,1,23,2013,Arizona,139,129,29.0,3.5,7.3,2.7,5.1,0.8,2.2,2.5,3.3,1.8,3.8,5.6,2.2,0.9,0.4,2.1,2.4,10.3,0.481,0.528,0.375,0.745,0.582,0.538,F
434,Buddy Hield,1,6,2016,Oklahoma,132,118,31.7,5.9,13.2,3.3,6.5,2.6,6.8,2.8,3.4,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,0.448,0.508,0.39,0.836,0.584,0.548,G
435,Kevin Hervey,2,57,2018,UT Arlington,115,84,27.7,5.5,12.5,3.7,7.0,1.8,5.5,2.8,3.6,1.9,6.1,8.0,1.9,1.0,0.5,2.1,1.9,15.5,0.44,0.53,0.324,0.768,0.547,0.511,F
436,Tyler Herro,1,13,2019,Kentucky,37,37,32.6,5.0,10.9,3.4,6.3,1.6,4.6,2.4,2.5,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,0.462,0.538,0.355,0.935,0.58,0.536,G
437,Dewan Hernandez,2,59,2019,Miami (FL),64,47,21.6,3.5,6.3,3.5,6.2,0.0,0.1,1.6,2.4,1.7,3.2,4.9,0.3,0.5,0.9,1.2,1.9,8.6,0.56,0.567,0.0,0.675,0.583,0.56,F
