,Player,Round,Pick,Draft Year,College,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
76,Hunter Tyson,2,37,2023,Clemson,140,73,20.1,2.7,6.0,1.5,2.7,1.2,3.3,1.4,1.8,0.8,3.9,4.8,0.8,0.6,0.2,0.7,1.4,8.1,0.453,0.558,0.366,0.79,0.587,0.553,F
77,Myles Turner,1,11,2015,Texas,34,7,22.2,3.4,7.6,2.9,5.7,0.5,1.8,2.8,3.3,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,0.455,0.513,0.274,0.839,0.556,0.488,F
78,Evan Turner,1,2,2010,Ohio State,31,31,35.7,7.6,14.7,7.0,13.0,0.6,1.8,4.5,5.9,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8,20.4,0.519,0.54,0.364,0.754,0.581,0.54,G
79,Gary Trent Jr.,2,37,2018,Duke,37,37,33.9,4.8,11.5,2.2,5.0,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,0.415,0.43,0.402,0.876,0.567,0.528,G
80,Karl-Anthony Towns,1,1,2015,Kentucky,39,39,21.1,3.7,6.6,3.7,6.4,0.1,0.2,2.8,3.4,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,0.566,0.577,0.25,0.813,0.627,0.57,F
81,Obi Toppin,1,8,2020,Dayton,64,46,29.0,7.0,10.8,6.3,9.2,0.7,1.6,2.5,3.6,1.4,5.2,6.6,2.0,0.8,1.0,2.0,1.9,17.1,0.647,0.688,0.417,0.706,0.687,0.679,F
82,J.P. Tokoto,2,58,2015,North Carolina,107,67,22.3,2.7,5.8,2.5,5.0,0.2,0.7,1.2,2.3,1.4,3.0,4.4,2.7,1.2,0.3,1.7,2.0,6.7,0.462,0.491,0.266,0.544,0.494,0.479,F
83,Xavier Tillman,2,35,2020,Michigan State,105,45,21.3,3.3,5.7,3.1,5.0,0.2,0.7,1.9,2.7,2.0,4.6,6.6,1.6,0.8,1.5,1.3,2.2,8.7,0.582,0.628,0.273,0.695,0.624,0.599,F
84,Matisse Thybulle,1,20,2019,Washington,135,134,29.4,3.3,7.6,1.9,3.7,1.4,4.0,1.3,1.6,0.9,2.2,3.1,2.0,2.5,1.4,1.9,2.8,9.2,0.429,0.507,0.358,0.782,0.55,0.522,G
85,Sindarius Thornwell,2,48,2017,South Carolina,132,132,31.8,4.5,11.5,3.2,7.5,1.4,4.0,4.3,5.6,1.6,3.6,5.2,3.0,1.5,0.6,2.5,2.4,14.7,0.392,0.42,0.339,0.771,0.518,0.451,G
86,Marcus Thornton,2,45,2015,William & Mary,127,107,34.1,5.6,13.0,3.0,6.6,2.6,6.4,3.4,4.3,0.3,2.2,2.6,2.4,0.7,0.2,2.6,1.5,17.1,0.43,0.457,0.402,0.789,0.57,0.529,G
87,JT Thor,2,37,2021,Auburn,27,27,23.0,3.1,7.1,2.3,4.3,0.8,2.7,2.3,3.1,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,0.44,0.53,0.297,0.741,0.547,0.497,F
88,Tristan Thompson,1,4,2011,Texas,36,34,30.7,4.8,8.8,4.8,8.8,0.0,0.0,3.5,7.3,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8,13.1,0.546,0.546,,0.487,0.536,0.546,F
89,Klay Thompson,1,11,2011,Washington State,65,63,35.0,6.8,15.9,4.1,8.9,2.7,7.0,4.4,5.4,1.0,4.2,5.2,3.0,1.5,0.8,3.4,2.7,20.6,0.425,0.458,0.382,0.821,0.558,0.509,G
90,Trey Thompkins III,2,37,2011,Georgia,61,58,31.1,6.6,13.6,5.8,11.4,0.8,2.2,3.2,4.4,2.0,6.0,8.0,1.7,1.0,1.4,2.7,2.4,17.1,0.482,0.509,0.341,0.729,0.544,0.51,F
91,Khyri Thomas,2,38,2018,Creighton,102,95,27.2,4.2,8.2,2.9,5.1,1.3,3.2,1.5,2.1,1.1,3.5,4.6,2.5,1.4,0.3,1.6,1.8,11.2,0.511,0.578,0.406,0.719,0.607,0.589,G
92,Isaiah Thomas,2,60,2011,Washington,70,70,31.5,5.3,12.4,3.6,7.1,1.8,5.3,4.4,6.0,0.7,3.1,3.7,4.6,1.2,0.1,2.7,2.0,16.9,0.43,0.499,0.337,0.726,0.551,0.502,G
93,Deshaun Thomas,2,58,2013,Ohio State,113,77,27.0,5.4,11.2,4.1,7.5,1.3,3.7,2.4,3.0,2.0,3.0,5.0,0.9,0.4,0.2,1.1,1.4,14.4,0.478,0.545,0.342,0.802,0.569,0.535,F
94,Cameron Thomas,1,27,2021,Louisiana State,29,29,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,0.406,0.464,0.325,0.882,0.553,0.474,G
95,Xavier Thames,2,59,2014,San Diego State,128,95,28.0,3.3,8.4,2.4,5.7,1.0,2.8,3.1,3.8,0.5,2.1,2.6,2.8,1.1,0.2,1.6,1.9,10.7,0.395,0.418,0.348,0.814,0.524,0.452,G
96,Tyrell Terry,2,31,2020,Stanford,31,31,32.6,4.7,10.7,2.7,5.8,2.0,4.9,3.2,3.5,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,0.441,0.47,0.408,0.891,0.589,0.535,G
97,Dalen Terry,1,18,2022,Arizona,63,51,24.9,2.4,5.1,1.8,3.2,0.7,1.9,1.0,1.5,1.0,3.2,4.2,2.9,1.0,0.3,1.3,2.3,6.6,0.477,0.552,0.35,0.68,0.564,0.542,G
98,Marquis Teague,1,29,2012,Kentucky,40,40,32.6,3.6,8.8,3.0,6.8,0.7,2.0,2.1,3.0,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10.0,0.412,0.438,0.325,0.714,0.491,0.449,G
99,Tyshawn Taylor,2,41,2012,Kansas,111,93,28.0,3.9,8.3,3.0,6.0,0.9,2.3,2.5,3.6,0.3,1.9,2.2,4.2,1.2,0.2,2.7,2.0,11.2,0.469,0.507,0.372,0.703,0.559,0.521,G
100,Jeffery Taylor,2,31,2012,Vanderbilt,103,102,30.3,5.1,10.7,4.1,8.0,1.0,2.7,3.5,5.0,1.9,3.5,5.4,1.9,1.1,0.5,2.3,2.3,14.8,0.478,0.511,0.379,0.694,0.563,0.526,F
101,Jayson Tatum,1,3,2017,Duke,29,27,33.3,5.7,12.6,4.3,8.6,1.4,4.0,4.1,4.8,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,0.452,0.504,0.342,0.849,0.566,0.507,F
102,Caleb Swanigan,1,26,2017,Purdue,69,69,29.2,5.1,10.2,4.2,7.9,0.9,2.3,3.3,4.4,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,0.501,0.537,0.376,0.76,0.586,0.543,F
103,Edmond Sumner,2,52,2017,Xavier,58,49,26.6,3.5,8.2,2.9,6.0,0.6,2.2,3.7,5.1,0.5,3.0,3.5,3.8,1.2,0.4,2.2,2.3,11.4,0.429,0.483,0.285,0.73,0.536,0.468,G
104,Jared Sullinger,1,21,2012,Ohio State,74,72,31.0,6.1,11.5,5.8,10.8,0.3,0.7,4.9,6.7,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,0.53,0.541,0.365,0.733,0.591,0.541,F
105,Jalen Suggs,1,5,2021,Gonzaga,30,30,28.9,5.2,10.3,4.0,6.8,1.2,3.5,2.9,3.8,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,0.503,0.588,0.337,0.754,0.595,0.56,G
106,Julian Strawther,1,29,2023,Gonzaga,94,68,23.4,3.8,7.8,2.3,3.9,1.5,4.0,1.9,2.5,0.8,3.8,4.6,0.9,0.6,0.2,1.0,1.7,10.9,0.484,0.586,0.384,0.745,0.608,0.581,G
107,Diamond Stone,2,40,2016,Maryland,35,22,23.1,4.8,8.4,4.8,8.4,0.0,0.0,2.9,3.8,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,0.568,0.568,,0.761,0.61,0.568,C
