,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
272,Jake Layman,2,47,3.8,2016-17,2021-22,22-27,243,49,0,12.8,1.9,4.1,1.3,2.3,0.5,1.8,0.5,0.7,0.4,1.3,1.7,0.5,0.4,0.3,0.5,1.0,4.8,0.46,0.585,0.3,0.719,0.547,0.526,F
273,Gani Lawal,2,46,0.0,2010-11,2010-11,22,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,F
274,Zach LaVine,1,13,30.8,2014-15,2022-23,19-27,555,468,2,32.4,7.3,15.7,5.1,9.9,2.2,5.8,3.7,4.4,0.5,3.5,4.0,3.9,0.9,0.3,2.6,2.2,20.5,0.465,0.512,0.384,0.833,0.58,0.535,G-F
275,Shane Larkin,1,18,4.4,2013-14,2017-18,21-25,256,41,0,19.1,2.1,5.0,1.7,3.7,0.5,1.4,0.8,1.0,0.3,1.6,1.9,2.9,0.9,0.1,1.2,1.5,5.5,0.422,0.454,0.336,0.777,0.5,0.468,G
276,Romeo Langford,1,14,2.0,2019-20,2022-23,20-23,141,32,0,16.1,1.8,4.2,1.4,2.8,0.4,1.4,0.6,1.0,0.8,1.3,2.1,0.7,0.4,0.3,0.5,1.2,4.6,0.43,0.497,0.288,0.659,0.501,0.476,G
277,Jeremy Lamb,1,12,26.8,2012-13,2021-22,20-29,573,136,0,20.8,3.7,8.4,2.7,5.4,1.0,3.1,1.7,1.9,0.5,3.1,3.6,1.6,0.7,0.4,0.8,1.6,10.1,0.439,0.494,0.342,0.857,0.545,0.501,G-F
278,Doron Lamb,2,42,0.1,2012-13,2013-14,21-22,100,0,0,12.7,1.2,3.2,0.7,2.0,0.5,1.3,0.5,0.7,0.2,0.8,1.0,0.8,0.2,0.0,0.5,1.1,3.5,0.381,0.372,0.394,0.7,0.488,0.458,G
279,Kyle Kuzma,1,27,15.1,2017-18,2022-23,22-27,406,276,0,31.1,6.2,13.9,4.3,8.0,2.0,5.8,2.1,2.9,1.1,5.3,6.4,2.5,0.6,0.5,2.1,2.1,16.5,0.449,0.529,0.338,0.725,0.545,0.519,F
280,Christian Koloko,2,33,1.7,2022-23,2022-23,22,58,19,0,13.8,1.2,2.6,1.2,2.4,0.0,0.2,0.6,1.0,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,3.1,0.48,0.514,0.083,0.627,0.517,0.483,C
281,Kevin Knox,1,9,0.3,2018-19,2022-23,19-23,275,66,0,18.0,2.6,6.8,1.5,3.6,1.1,3.2,1.1,1.6,0.5,2.4,2.9,0.7,0.4,0.3,0.8,1.6,7.5,0.385,0.423,0.342,0.713,0.497,0.466,F
282,Brandon Knight,1,8,11.6,2011-12,2021-22,20-30,451,349,0,29.3,5.0,12.2,3.4,7.7,1.6,4.5,2.4,2.9,0.5,2.5,3.1,3.9,0.9,0.2,2.4,2.0,14.0,0.411,0.445,0.352,0.807,0.518,0.476,G
283,Corey Kispert,1,15,6.1,2021-22,2022-23,22-23,151,81,0,25.8,3.5,7.3,1.7,2.6,1.8,4.7,0.9,1.0,0.6,2.2,2.8,1.1,0.4,0.2,0.7,1.3,9.6,0.478,0.633,0.391,0.86,0.624,0.603,G-F
284,George King,2,59,-0.1,2018-19,2021-22,25-28,5,0,0,5.0,0.0,1.0,0.0,0.2,0.0,0.8,0.2,0.4,0.0,1.2,1.2,0.0,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0,0.5,0.085,0.0,G-F
285,Michael Kidd-Gilchrist,1,2,21.0,2012-13,2019-20,19-26,446,356,0,24.6,3.3,6.9,3.2,6.7,0.1,0.2,1.8,2.5,1.6,3.8,5.4,1.2,0.7,0.7,0.9,2.1,8.4,0.474,0.481,0.272,0.715,0.524,0.478,F
286,Walker Kessler,1,22,7.1,2022-23,2022-23,21,74,40,0,23.0,4.0,5.6,4.0,5.6,0.0,0.0,1.1,2.1,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,0.72,0.723,0.333,0.516,0.702,0.721,C
287,Luke Kennard,1,12,17.6,2017-18,2022-23,21-26,356,88,0,23.3,3.5,7.8,1.6,3.4,1.9,4.4,0.9,1.0,0.3,2.6,2.8,1.9,0.5,0.1,0.9,1.5,9.9,0.455,0.479,0.437,0.877,0.601,0.579,G
288,Ryan Kelly,2,48,3.0,2013-14,2016-17,22-25,163,59,0,19.2,2.0,5.3,1.4,3.3,0.6,2.0,1.4,1.8,0.5,2.6,3.1,1.3,0.5,0.5,0.7,1.9,6.0,0.378,0.416,0.316,0.797,0.498,0.438,F
289,Trevor Keels,2,42,0.0,2022-23,2022-23,19,3,0,0,2.7,0.3,1.3,0.0,0.0,0.3,1.3,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.25,,0.25,,0.375,0.375,G
290,Frank Kaminsky,1,9,15.9,2015-16,2022-23,22-29,413,49,0,19.8,3.2,7.3,2.1,4.4,1.0,3.0,1.4,1.9,0.7,3.1,3.8,1.6,0.4,0.4,0.8,1.5,8.8,0.43,0.486,0.349,0.746,0.537,0.501,F-C
291,Mfiondu Kabengele,1,27,0.4,2019-20,2022-23,22-25,55,0,0,6.9,0.9,2.3,0.5,1.0,0.4,1.3,0.4,0.5,0.3,1.1,1.5,0.3,0.2,0.3,0.3,0.9,2.6,0.383,0.491,0.301,0.852,0.511,0.469,F
292,Kris Joseph,2,51,-0.1,2012-13,2012-13,24,10,0,0,5.4,0.2,1.4,0.2,1.1,0.0,0.3,0.5,0.8,0.1,0.6,0.7,0.1,0.3,0.0,0.2,0.3,0.9,0.143,0.182,0.0,0.625,0.257,0.143,F
293,Cory Joseph,1,29,30.5,2011-12,2022-23,20-31,790,175,0,22.0,2.7,6.1,2.1,4.4,0.6,1.7,1.0,1.3,0.5,2.0,2.5,3.0,0.8,0.2,1.0,1.6,7.1,0.442,0.478,0.35,0.787,0.527,0.491,G
294,Jerome Jordan,2,44,1.7,2011-12,2014-15,25-28,65,0,0,7.6,1.0,2.0,1.0,2.0,0.0,0.0,0.7,0.8,1.0,1.0,2.0,0.3,0.1,0.3,0.4,1.1,2.8,0.528,0.528,,0.852,0.597,0.528,C
295,Tyus Jones,1,24,25.0,2015-16,2022-23,19-26,535,94,0,19.3,2.6,6.0,1.8,3.8,0.8,2.2,0.8,0.9,0.2,1.6,1.9,3.9,1.0,0.1,0.7,0.8,6.8,0.436,0.481,0.357,0.814,0.528,0.501,G
296,Tre Jones,2,41,6.7,2020-21,2022-23,21-23,174,77,0,19.5,3.1,6.7,2.8,5.4,0.3,1.2,1.4,1.6,0.5,1.9,2.4,4.1,0.8,0.1,1.0,1.1,7.9,0.469,0.514,0.271,0.837,0.538,0.494,G
297,Terrence Jones,1,18,14.7,2012-13,2018-19,21-27,234,118,0,23.8,4.2,8.4,3.8,7.1,0.4,1.3,1.6,2.5,1.7,4.0,5.7,1.0,0.6,1.2,0.9,1.7,10.4,0.501,0.539,0.297,0.621,0.545,0.524,F
298,Perry Jones,1,28,1.7,2012-13,2014-15,21-23,143,21,0,11.7,1.4,3.2,1.1,2.4,0.3,0.9,0.4,0.7,0.3,1.4,1.8,0.4,0.3,0.2,0.4,0.9,3.4,0.42,0.466,0.293,0.66,0.483,0.459,F
299,Kai Jones,1,19,0.7,2021-22,2022-23,21-22,67,0,0,9.1,1.1,2.0,1.1,1.7,0.1,0.3,0.3,0.5,0.6,1.4,2.0,0.3,0.3,0.5,0.6,1.1,2.7,0.567,0.628,0.238,0.647,0.601,0.586,F-C
300,Dominique Jones,1,25,0.3,2010-11,2012-13,22-24,80,4,0,9.3,1.0,2.8,1.0,2.6,0.0,0.3,1.0,1.3,0.4,1.0,1.4,1.8,0.4,0.1,1.0,0.8,3.1,0.366,0.393,0.095,0.729,0.449,0.37,G
301,Damian Jones,1,30,10.4,2016-17,2022-23,21-27,240,75,0,14.6,2.1,3.1,2.0,2.9,0.1,0.3,1.0,1.5,1.1,2.2,3.4,0.7,0.4,0.7,0.7,2.1,5.2,0.662,0.686,0.383,0.706,0.699,0.677,F-C
302,Darius Johnson-Odom,2,55,-0.3,2012-13,2013-14,23-24,7,0,0,3.0,0.0,1.6,0.0,1.0,0.0,0.6,0.0,0.3,0.1,0.7,0.9,0.3,0.1,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G
